Year,Cluster,Indicator,Attribute,Province,Area Council,Intensity 2,Intensity 3,Intensity 4,Intensity 5
2025,Education,Number Schools,ecce,Torba,Torres,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Torba,Ureparapara,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Torba,Motalava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Torba,East Vanualava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Torba,West Vanualava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Torba,Mota,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Torba,East Gaua,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Torba,West Gaua,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Torba,Merelava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,Luganville,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,North West Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,Big Bay Coast,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,Big Bay Inland,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,West Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,South Santo 1,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,South Santo 2,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,East Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,South East Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,Canal Fanafo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,West Malo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Sanma,East Malo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Penama,West Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Penama,North Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Penama,East Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Penama,South Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,ecce,Penama,North Maewo,0.1,0.5,0.7,0.8
