"Year","Cluster","Indicator","Province","Area Council","Unit","Value"
2025,"Education","Tent","Torba","Torres","number",1
2025,"Education","Tent","Torba","Ureparapara","number",1
2025,"Education","Tent","Torba","Motalava","number",1
2025,"Education","Tent","Torba","East Vanualava","number",1
2025,"Education","Tent","Torba","West Vanualava","number",1
2025,"Education","Tent","Torba","Mota","number",1
2025,"Education","Tent","Torba","East Gaua","number",1
2025,"Education","Tent","Torba","West Gaua","number",1
2025,"Education","Tent","Torba","Merelava","number",1
2025,"Education","Tent","Sanma","Luganville","number",1
2025,"Education","Tent","Sanma","North West Santo","number",1
2025,"Education","Tent","Sanma","Big Bay Coast","number",1
2025,"Education","Tent","Sanma","Big Bay Inland","number",1
2025,"Education","Tent","Sanma","West Santo","number",1
2025,"Education","Tent","Sanma","South Santo 1","number",1
2025,"Education","Tent","Sanma","South Santo 2","number",1
2025,"Education","Tent","Sanma","East Santo","number",1
2025,"Education","Tent","Sanma","South East Santo","number",1
2025,"Education","Tent","Sanma","Canal Fanafo","number",1
2025,"Education","Tent","Sanma","West Malo","number",1
2025,"Education","Tent","Sanma","East Malo","number",1
2025,"Education","Tent","Penama","West Ambae","number",1
2025,"Education","Tent","Penama","North Ambae","number",1
2025,"Education","Tent","Penama","East Ambae","number",1
2025,"Education","Tent","Penama","South Ambae","number",1
2025,"Education","Tent","Penama","North Maewo","number",1
2025,"Education","Tent","Penama","South Maewo","number",1
2025,"Education","Tent","Penama","North Pentecost","number",1
2025,"Education","Tent","Penama","Central Pentecost 1","number",1
2025,"Education","Tent","Penama","Central Pentecost 2","number",1
2025,"Education","Tent","Penama","South Pentecost","number",1
2025,"Education","Tent","Malampa","North West Malekula","number",1
2025,"Education","Tent","Malampa","North East Malekula","number",1
2025,"Education","Tent","Malampa","Central Malekula","number",1
2025,"Education","Tent","Malampa","South West Malekula","number",1
2025,"Education","Tent","Malampa","South East Malekula","number",1
2025,"Education","Tent","Malampa","South Malekula","number",1
2025,"Education","Tent","Malampa","North Ambrym","number",1
2025,"Education","Tent","Malampa","West Ambrym","number",1
2025,"Education","Tent","Malampa","South East Ambrym","number",1
2025,"Education","Tent","Malampa","Paama","number",1
2025,"Education","Tent","Shefa","Port Vila","number",1
2025,"Education","Tent","Shefa","Vermali","number",1
2025,"Education","Tent","Shefa","Vermaul","number",1
2025,"Education","Tent","Shefa","Varisu","number",1
2025,"Education","Tent","Shefa","South Epi","number",1
2025,"Education","Tent","Shefa","North Tongoa","number",1
2025,"Education","Tent","Shefa","Makimae","number",1
2025,"Education","Tent","Shefa","Tongariki","number",1
2025,"Education","Tent","Shefa","Nguna","number",1
2025,"Education","Tent","Shefa","Emau","number",1
2025,"Education","Tent","Shefa","Malorua","number",1
2025,"Education","Tent","Shefa","North Efate","number",1
2025,"Education","Tent","Shefa","Mele","number",1
2025,"Education","Tent","Shefa","Tanvasoko","number",1
2025,"Education","Tent","Shefa","Ifira","number",1
2025,"Education","Tent","Shefa","Pango","number",1
2025,"Education","Tent","Shefa","Erakor","number",1
2025,"Education","Tent","Shefa","Eratap","number",1
2025,"Education","Tent","Shefa","Eton","number",1
2025,"Education","Tent","Tafea","North Erromango","number",1
