Year,Cluster,Indicator,Attribute,Value,Province,Area Council
2025,Education,Number Schools,ecce,1.00E+06,Torba,Torres
2025,Education,Number Schools,ecce,1.00E+06,Torba,Ureparapara
2025,Education,Number Schools,ecce,1.00E+06,Torba,Motalava
2025,Education,Number Schools,ecce,1.00E+06,Torba,East Vanualava
2025,Education,Number Schools,ecce,1.00E+06,Torba,West Vanualava
2025,Education,Number Schools,ecce,1.00E+06,Torba,Mota
2025,Education,Number Schools,ecce,1.00E+06,Torba,East Gaua
2025,Education,Number Schools,ecce,1.00E+06,Torba,West Gaua
2025,Education,Number Schools,ecce,1.00E+06,Torba,Merelava
2025,Education,Number Schools,ecce,1.00E+06,Sanma,Luganville
2025,Education,Number Schools,ecce,1.00E+06,Sanma,North West Santo
2025,Education,Number Schools,ecce,1.00E+06,Sanma,Big Bay Coast
2025,Education,Number Schools,ecce,1.00E+06,Sanma,Big Bay Inland
2025,Education,Number Schools,ecce,1.00E+06,Sanma,West Santo
2025,Education,Number Schools,ecce,1.00E+06,Sanma,South Santo 1
2025,Education,Number Schools,ecce,1.00E+06,Sanma,South Santo 2
2025,Education,Number Schools,ecce,1.00E+06,Sanma,East Santo
2025,Education,Number Schools,ecce,1.00E+06,Sanma,South East Santo
2025,Education,Number Schools,ecce,1.00E+06,Sanma,Canal Fanafo
2025,Education,Number Schools,ecce,1.00E+06,Sanma,West Malo
2025,Education,Number Schools,ecce,1.00E+06,Sanma,East Malo
2025,Education,Number Schools,ecce,1.00E+06,Penama,West Ambae
2025,Education,Number Schools,ecce,1.00E+06,Penama,North Ambae
2025,Education,Number Schools,ecce,1.00E+06,Penama,East Ambae
2025,Education,Number Schools,ecce,1.00E+06,Penama,South Ambae
2025,Education,Number Schools,ecce,1.00E+06,Penama,North Maewo
2025,Education,Number Schools,ecce,1.00E+06,Penama,South Maewo
2025,Education,Number Schools,ecce,1.00E+06,Penama,North Pentecost
2025,Education,Number Schools,ecce,1.00E+06,Penama,Central Pentecost 1
2025,Education,Number Schools,ecce,1.00E+06,Penama,Central Pentecost 2
