"Province","Area Council","Attribute","Value","Year","Month","Cluster","Type"
"Malampa","Central Malekula","Intensity",2,"2025","January","Disaster","Estimated Hazard Damage"
"Malampa","North Ambrym","Intensity",2,"2025","January","Disaster","Estimated Hazard Damage"
"Malampa","North East Malekula","Intensity",2,"2025","January","Disaster","Estimated Hazard Damage"
"Malampa","North West Malekula","Intensity",2,"2025","January","Disaster","Estimated Hazard Damage"
"Malampa","Paama","Intensity",2,"2025","January","Disaster","Estimated Hazard Damage"
"Malampa","South East Ambrym","Intensity",2,"2025","January","Disaster","Estimated Hazard Damage"
"Malampa","South East Malekula","Intensity",2,"2025","January","Disaster","Estimated Hazard Damage"
"Malampa","South Malekula","Intensity",2,"2025","January","Disaster","Estimated Hazard Damage"
"Malampa","South West Malekula","Intensity",2,"2025","January","Disaster","Estimated Hazard Damage"
"Malampa","West Ambrym","Intensity",2,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Emau","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Erakor","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Eratap","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Eton","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Ifira","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Makimae","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Malorua","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Mele","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Nguna","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","North Efate","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","North Tongoa","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Pango","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Port Vila","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","South Epi","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Tanvasoko","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Tongariki","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Varisu","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Vermali","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Shefa","Vermaul","Intensity",4,"2025","January","Disaster","Estimated Hazard Damage"
"Tafea","Aneityum","Intensity",3,"2025","January","Disaster","Estimated Hazard Damage"
"Tafea","Aniwa","Intensity",3,"2025","January","Disaster","Estimated Hazard Damage"
"Tafea","Futuna","Intensity",3,"2025","January","Disaster","Estimated Hazard Damage"
"Tafea","Middle Bush Tanna","Intensity",3,"2025","January","Disaster","Estimated Hazard Damage"
"Tafea","North Erromango","Intensity",3,"2025","January","Disaster","Estimated Hazard Damage"
"Tafea","North Tanna","Intensity",3,"2025","January","Disaster","Estimated Hazard Damage"
"Tafea","South Erromango","Intensity",3,"2025","January","Disaster","Estimated Hazard Damage"
"Tafea","South Tanna","Intensity",3,"2025","January","Disaster","Estimated Hazard Damage"
"Tafea","South West Tanna","Intensity",3,"2025","January","Disaster","Estimated Hazard Damage"
"Tafea","West Tanna","Intensity",3,"2025","January","Disaster","Estimated Hazard Damage"
"Tafea","Whitesands","Intensity",3,"2025","January","Disaster","Estimated Hazard Damage"
