"National","Province","Area Council","Hazard","Intensity"
"Vanuatu","Torba","Torres","Cyclone",0
"Vanuatu","Torba","Ureparapara","Cyclone",0
"Vanuatu","Torba","Motalava","Cyclone",0
"Vanuatu","Torba","East Vanualava","Cyclone",0
"Vanuatu","Torba","West Vanualava","Cyclone",0
"Vanuatu","Torba","Mota","Cyclone",0
"Vanuatu","Torba","East Gaua","Cyclone",0
"Vanuatu","Torba","West Gaua","Cyclone",0
"Vanuatu","Torba","Merelava","Cyclone",0
"Vanuatu","Sanma","Luganville","Cyclone",0
"Vanuatu","Sanma","North West Santo","Cyclone",0
"Vanuatu","Sanma","Big Bay Coast","Cyclone",0
"Vanuatu","Sanma","Big Bay Inland","Cyclone",0
"Vanuatu","Sanma","West Santo","Cyclone",0
"Vanuatu","Sanma","South Santo 1","Cyclone",0
"Vanuatu","Sanma","South Santo 2","Cyclone",0
"Vanuatu","Sanma","East Santo","Cyclone",0
"Vanuatu","Sanma","South East Santo","Cyclone",0
"Vanuatu","Sanma","Canal Fanafo","Cyclone",0
"Vanuatu","Sanma","East Malo","Cyclone",0
"Vanuatu","Sanma","West Malo","Cyclone",0
"Vanuatu","Penama","West Ambae","Cyclone",0
"Vanuatu","Penama","North Ambae","Cyclone",0
"Vanuatu","Penama","East Ambae","Cyclone",0
"Vanuatu","Penama","South Ambae","Cyclone",0
"Vanuatu","Penama","North Maewo","Cyclone",0
"Vanuatu","Penama","South Maewo","Cyclone",0
"Vanuatu","Penama","North Pentecost","Cyclone",0
"Vanuatu","Penama","Central Pentecost 1","Cyclone",0
"Vanuatu","Penama","Central Pentecost 2","Cyclone",0
"Vanuatu","Penama","South Pentecost","Cyclone",0
"Vanuatu","Malampa","North West Malekula","Cyclone",0
"Vanuatu","Malampa","North East Malekula","Cyclone",0
"Vanuatu","Malampa","Central Malekula","Cyclone",0
"Vanuatu","Malampa","South West Malekula","Cyclone",0
"Vanuatu","Malampa","South East Malekula","Cyclone",0
"Vanuatu","Malampa","South Malekula","Cyclone",0
"Vanuatu","Malampa","North Ambrym","Cyclone",0
"Vanuatu","Malampa","West Ambrym","Cyclone",0
"Vanuatu","Malampa","South East Ambrym","Cyclone",0
"Vanuatu","Malampa","Paama","Cyclone",0
"Vanuatu","Shefa","Port Vila","Cyclone",0
"Vanuatu","Shefa","Vermali","Cyclone",0
"Vanuatu","Shefa","Vermaul","Cyclone",0
"Vanuatu","Shefa","Varisu","Cyclone",0
"Vanuatu","Shefa","South Epi","Cyclone",0
"Vanuatu","Shefa","North Tongoa","Cyclone",0
"Vanuatu","Shefa","Tongariki","Cyclone",0
"Vanuatu","Shefa","Makimae","Cyclone",0
"Vanuatu","Shefa","Nguna","Cyclone",0
"Vanuatu","Shefa","Emau","Cyclone",0
"Vanuatu","Shefa","Malorua","Cyclone",0
"Vanuatu","Shefa","North Efate","Cyclone",0
"Vanuatu","Shefa","Mele","Cyclone",0
"Vanuatu","Shefa","Tanvasoko","Cyclone",0
"Vanuatu","Shefa","Ifira","Cyclone",0
"Vanuatu","Shefa","Pango","Cyclone",0
"Vanuatu","Shefa","Erakor","Cyclone",0
"Vanuatu","Shefa","Eratap","Cyclone",0
"Vanuatu","Shefa","Eton","Cyclone",0
"Vanuatu","Tafea","North Erromango","Cyclone",0
"Vanuatu","Tafea","South Erromango","Cyclone",0
"Vanuatu","Tafea","Aniwa","Cyclone",0
"Vanuatu","Tafea","North Tanna","Cyclone",0
"Vanuatu","Tafea","West Tanna","Cyclone",0
"Vanuatu","Tafea","Middle Bush Tanna","Cyclone",0
"Vanuatu","Tafea","South West Tanna","Cyclone",0
"Vanuatu","Tafea","Whitesands","Cyclone",0
"Vanuatu","Tafea","South Tanna","Cyclone",0
"Vanuatu","Tafea","Futuna","Cyclone",0
"Vanuatu","Tafea","Aneityum","Cyclone",0
