"Region","total_businesses","industry_transportation","industry_accommodation and food","industry_administrative services","industry_wholesale and retail trade","industry_agriculture, forestry and fishing","industry_construction","industry_manufacturing","industry_arts and entertainment","industry_mining and quarrying","industry_real estate","industry_scientific and technical","industry_financial and insurance","industry_education","industry_information and communication","industry_other services","industry_water supply and waste management","industry_health and social work","industry_electricity and gas"
"National",12962,2604,1356,514,4954,216,651,850,123,25,292,655,254,59,123,155,31,89,11
"Torba",254,25,35,0,176,1,9,5,0,0,3,0,0,0,0,0,0,0,0
"Torres",53,6,8,0,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Ureparapara",16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Motalava",8,1,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"East Vanualava",116,15,21,0,69,1,5,2,0,0,3,0,0,0,0,0,0,0,0
"Mota",17,1,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Gaua",10,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merelava",34,0,1,0,31,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Sanma",2888,815,273,72,1142,134,92,204,25,8,16,37,31,9,7,13,3,5,2
"Luganville",1131,307,114,58,359,13,77,91,3,5,8,33,27,7,7,13,2,5,2
"North West Santo",10,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Big Bay Coast",35,3,0,0,24,6,1,1,0,0,0,0,0,0,0,0,0,0,0
"Big Bay Inland",51,14,0,0,16,19,0,2,0,0,0,0,0,0,0,0,0,0,0
"West Santo",68,12,1,1,43,5,0,6,0,0,0,0,0,0,0,0,0,0,0
"South Santo 1",89,28,5,0,42,4,0,10,0,0,0,0,0,0,0,0,0,0,0
"South Santo 2",287,50,31,3,150,19,1,32,1,0,0,0,0,0,0,0,0,0,0
"East Santo",340,90,21,4,165,23,2,22,10,0,1,1,1,0,0,0,0,0,0
"South East Santo",460,226,65,4,98,14,10,19,10,2,5,1,3,2,0,0,1,0,0
"Canal Fanafo",130,60,4,2,27,25,0,6,1,1,2,2,0,0,0,0,0,0,0
"West Malo",207,16,24,0,152,3,1,11,0,0,0,0,0,0,0,0,0,0,0
"East Malo",80,8,8,0,58,3,0,3,0,0,0,0,0,0,0,0,0,0,0
"Penama",660,65,68,4,435,10,1,72,2,0,0,1,2,0,0,0,0,0,0
"West Ambae",4,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"East Ambae",3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"North Maewo",200,15,33,0,107,3,0,42,0,0,0,0,0,0,0,0,0,0,0
"North Pentecost",4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Central Pentecost 1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Central Pentecost 2",137,0,14,1,120,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"South Pentecost",311,48,21,1,207,7,1,22,2,0,0,1,1,0,0,0,0,0,0
"Malampa",107,22,14,2,40,1,11,13,1,0,3,0,0,0,0,0,0,0,0
"Central Malekula",107,22,14,2,40,1,11,13,1,0,3,0,0,0,0,0,0,0,0
"Shefa",8324,1491,899,416,2837,65,490,500,87,17,269,612,219,49,115,138,28,84,8
"Port Vila",4335,623,417,291,1187,11,339,254,45,11,152,486,152,40,105,130,12,75,5
"Vermali",144,11,20,3,95,0,4,7,0,0,0,0,3,1,0,0,0,0,0
"Vermaul",25,1,1,4,15,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"Varisu",84,5,4,0,54,2,0,19,0,0,0,0,0,0,0,0,0,0,0
"South Epi",56,4,3,0,45,0,0,3,0,0,1,0,0,0,0,0,0,0,0
"North Tongoa",51,3,5,2,37,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Tongariki",30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Makimae",40,2,2,0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Nguna",249,12,41,5,170,0,2,18,0,0,0,0,1,0,0,0,0,0,0
"Emau",26,0,4,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Malorua",245,30,40,5,110,3,4,20,11,1,6,7,2,1,1,0,1,2,1
"North Efate",187,32,31,0,108,1,1,4,2,0,3,3,1,0,0,0,1,0,0
"Mele",499,87,57,16,194,15,22,37,7,0,32,18,3,1,2,1,4,2,1
"Tanvasoko",754,241,78,30,207,5,48,45,5,0,29,28,27,1,3,2,4,1,0
"Ifira",75,5,10,3,45,0,1,1,0,0,1,4,4,0,0,1,0,0,0
"Pango",267,59,57,10,69,3,10,11,7,0,21,10,4,1,1,1,0,2,1
"Erakor",521,155,55,23,168,4,26,36,4,1,10,23,8,2,1,2,3,0,0
"Eratap",581,198,54,23,150,17,27,35,6,4,12,33,13,1,2,1,3,2,0
"Eton",155,23,20,1,98,3,1,6,0,0,2,0,0,1,0,0,0,0,0
"Tafea",729,186,67,20,324,5,48,56,8,0,1,5,2,1,1,4,0,0,1
"North Erromango",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Erromango",5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Aniwa",20,0,3,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Tanna",24,13,0,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"West Tanna",464,74,47,9,241,3,28,45,2,0,1,5,2,1,1,4,0,0,1
"Middle Bush Tanna",93,42,9,4,20,0,9,6,3,0,0,0,0,0,0,0,0,0,0
"South West Tanna",31,18,0,0,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"Whitesands",46,19,5,4,11,1,2,1,3,0,0,0,0,0,0,0,0,0,0
"South Tanna",41,16,3,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Futuna",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Aneityum",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
