"Region","ecce_tents","primary_tents","secondary_tents","total_tents","ecce_solar_lamps","primary_solar_lamps","secondary_solar_lamps","total_solar_lamps"
"National",269,223,82,574,2696,2238,864,5798
"Malampa",24,17,5,46,236,172,50,458
"North West Malekula",4,3,1,8,40,34,8,82
"North East Malekula",4,2,1,7,36,16,8,60
"Central Malekula",3,2,0,5,34,22,4,60
"South West Malekula",2,1,0,3,22,12,2,36
"South East Malekula",3,2,0,5,26,16,4,46
"South Malekula",2,1,1,4,20,14,6,40
"North Ambrym",2,2,1,5,18,18,6,42
"West Ambrym",1,2,1,4,14,16,6,36
"South East Ambrym",2,1,0,3,16,12,2,30
"Paama",1,1,0,2,10,12,4,26
"Shefa",132,132,53,317,1330,1316,574,3220
"Port Vila",42,36,22,100,420,364,224,1008
"Vermali",1,4,1,6,14,42,14,70
"Vermaul",6,7,1,14,56,70,14,140
"Varisu",7,7,1,15,70,70,14,154
"South Epi",4,6,1,11,42,56,14,112
"North Tongoa",8,8,3,19,84,84,28,196
"Tongariki",1,3,1,5,14,28,14,56
"Makimae",3,6,1,10,28,56,14,98
"Nguna",8,6,1,15,84,56,14,154
"Emau",4,3,1,8,42,28,14,84
"Malorua",3,6,1,10,28,56,14,98
"North Efate",6,7,3,16,56,70,28,154
"Mele",11,6,4,21,112,56,42,210
"Tanvasoko",3,1,1,5,28,14,14,56
"Ifira",1,1,1,3,14,14,14,42
"Pango",4,3,3,10,42,28,28,98
"Erakor",4,4,3,11,42,42,28,112
"Eratap",13,14,3,30,126,140,28,294
"Eton",3,4,1,8,28,42,14,84
"Tafea",113,74,24,211,1130,750,240,2120
"North Erromango",4,2,1,7,40,25,10,75
"South Erromango",3,4,1,8,30,45,10,85
"Aniwa",2,1,1,4,20,10,10,40
"North Tanna",13,9,3,25,130,90,30,250
"West Tanna",22,14,6,42,220,140,60,420
"Middle Bush Tanna",14,12,2,28,140,120,20,280
"South West Tanna",9,5,1,15,90,50,10,150
"Whitesands",28,18,4,50,280,180,40,500
"South Tanna",9,5,2,16,90,50,20,160
"Futuna",3,1,1,5,30,10,10,50
"Aneityum",6,3,2,11,60,30,20,110
