"Region","total_households_affected","elec_battery lamp_damaged","elec_generator_damaged","elec_main grid_damaged","elec_no access_damaged","elec_solar system_damaged","cook_bottle gas_damaged","cook_open fire_damaged","cook_solar power_damaged","cook_electricity_damaged","cook_wood stove_damaged"
"National",45289.6987223164,1771.01429501328,109.399200013482,10519.2319372064,2452.31163693208,8326.28978453101,4556.86950832385,14715.5402145255,885.710143776744,2149.1783464874,541.447785436603
"Malampa",10353.2774827892,147.425300500961,4.51208503472649,104.832246954901,116.555449792978,656.693784009359,7.72159118040127,905.097510782788,79.0359487879581,21.6416901205589,10.3237241218495
"North West Malekula",1188.86767401795,12.1331345239537,0,0,19.6640456077871,86.2916895022569,0.209191974550926,101.353511669924,9.93661879116899,0,6.27575923652778
"North East Malekula",1539.62290420528,22.0572756320821,0.200520687564383,40.6054392317875,7.41926543988216,83.1158249954367,1.00260343782191,114.798093630609,22.9596187261218,13.5351464105958,0.401041375128765
"Central Malekula",1541.65738237234,8.94547232163757,0.212987436229466,52.9273779030223,3.83377385213038,87.2183551359664,3.72728013401566,134.821047133252,3.19481154344199,7.77404142237551,1.597405771721
"South West Malekula",935.199541294908,22.9622671962905,0,8.73686264053978,0.896088475952797,60.7099942458019,0.560055297470498,89.3848254762915,3.24832072532889,0,0.1120110594941
"South East Malekula",1153.86214879327,5.43003325234527,1.14866088030381,1.98405061143385,10.8600665046905,95.2344293488249,0.417694865565021,110.897986807513,2.71501662617264,0.208847432782511,0.104423716391255
"South Malekula",1202.44366657817,19.5158559498525,0.363649489748804,0,22.4250518678429,77.8209908062439,0.121216496582935,99.2763107014235,19.5158559498525,0,0.242432993165869
"North Ambrym",1007.7042284521,23.3707675581689,0.247309709610252,0,11.9945209160972,64.5478342082758,0.61827427402563,92.2465216846241,6.55370730467167,0.123654854805126,0.123654854805126
"West Ambrym",385.450635837244,4.19457022596825,0.123369712528478,0,5.30489763872455,28.7451430191353,0.246739425056956,35.1603680706162,1.91223054419141,0,0.986957700227821
"South East Ambrym",605.948867341972,8.76068281257728,0.480037414387796,0,22.2017304154356,29.0422635704617,0.240018707193898,54.8442745938057,3.60028060790847,0,0.480037414387796
"Paama",792.520433895933,20.055241028085,1.7355497043535,0.578516568117834,11.9560090744352,43.9672591769554,0.578516568117834,72.3145710147292,5.39948796909978,0,0
"Shefa",24030.8306358174,550.60640302232,86.7424968439721,9580.77368147159,1149.35903105312,5356.92815735774,4462.01016400017,9061.50601488875,458.273290970619,1965.2988824014,461.260741805395
"Port Vila",8958.28660829032,96.6377867456337,11.9915501801152,5403.95681940367,164.354775998049,545.262840542884,2869.50741957109,1721.14014349889,85.3516218702315,1140.60803772037,174.230170264026
"Vermali",620.505261352837,49.8302504336886,4.98302504336887,1.66100834778962,27.4066377385288,347.981248861926,3.32201669557925,416.913095295195,9.13554591284293,0.830504173894808,1.66100834778962
"Vermaul",467.791975723459,0,2.66223075614977,1.77482050409985,133.998948059538,189.018383686634,2.66223075614977,275.097178135476,45.2579228545461,2.66223075614977,0.887410252049923
"Varisu",610.02408994337,13.7451779922862,1.83269039897149,0,32.988427181487,376.617876988643,0,405.940923372186,18.3269039897149,0,0.916345199485751
"South Epi",470.290296930793,92.1385071537882,6.71843281329704,0,134.368656265941,94.0580593861587,0.959776116185292,229.386491768285,32.6323879503,2.87932834855588,61.4256714358587
"North Tongoa",327.891570980372,1.40057685789664,0,0,2.10086528684495,223.392008834513,1.40057685789664,219.890566689772,4.90201900263823,0,0.700288428948318
"Tongariki",237.737908455605,18.7818294474025,0,0.816601280321848,13.0656204851495,131.472806131817,0,161.687053503726,0.816601280321848,0,1.6332025606437
"Makimae",232.625876024746,8.21301051846765,0,0,0,153.993947221268,0,159.469287566913,2.73767017282255,0,0
"Nguna",468.181911066327,30.1951030283227,2.2093977825602,0,4.41879556512039,290.904041370426,7.36465927520064,315.207416978588,0.736465927520064,0,2.2093977825602
"Emau",197.239389926415,35.2839353090587,0.767042071936056,0,2.30112621580817,99.7154693516877,0.767042071936056,108.91997421492,25.31238837389,0,3.06816828774424
