"battery_lamp_damage","generator_damage","main_grid_damage","total_household_elec_damage","Region"
309927501.627325,109399.200013482,1683077109.95302,1993114010.78036,"National"
25799427.5876682,4512.08503472649,16773159.5127842,42577099.1854871,"Malampa"
2123298.5416919,0,0,2123298.5416919,"North West Malekula"
3860023.23561437,200.520687564383,6496870.277086,10357094.0333879,"North East Malekula"
1565457.65628657,212.987436229466,8468380.46448357,10034051.1082064,"Central Malekula"
4018396.75935084,0,1397898.02248636,5416294.7818372,"South West Malekula"
950255.819160422,1148.66088030381,317448.097829416,1268852.57787014,"South East Malekula"
3415274.79122419,363.649489748804,0,3415638.44071394,"South Malekula"
4089884.32267956,247.309709610252,0,4090131.63238917,"North Ambrym"
734049.789544444,123.369712528478,0,734173.159256972,"West Ambrym"
1533119.49220102,480.037414387796,0,1533599.52961541,"South East Ambrym"
3509667.17991488,1735.5497043535,92562.6508988534,3603965.38051808,"Paama"
96356120.528906,86742.4968439721,1532923789.03545,1629366652.0612,"Shefa"
16911612.6804859,11991.5501801152,864633091.104587,881556695.335253,"Port Vila"
8720293.82589551,4983.02504336887,265761.33564634,8991038.18658522,"Vermali"
0,2662.23075614977,283971.280655975,286633.511412125,"Vermaul"
2405406.14865009,1832.69039897149,0,2407238.83904906,"Varisu"
16124238.7519129,6718.43281329704,0,16130957.1847262,"South Epi"
245100.950131911,0,0,245100.950131911,"North Tongoa"
3286820.15329544,0,130656.204851496,3417476.35814693,"Tongariki"
1437276.84073184,0,0,1437276.84073184,"Makimae"
5284143.02995647,2209.3977825602,0,5286352.42773903,"Nguna"
6174688.67908528,767.042071936056,0,6175455.72115721,"Emau"
6984946.27272238,0,53370691.5205564,60355637.7932787,"Malorua"
2149759.82387583,32465.7606054716,41134996.1401219,43317221.7246032,"North Efate"
1327463.5603006,4137.54875937851,82199302.0196531,83530903.128713,"Mele"
5170347.0800631,4087.98146378313,147169126.569704,152343561.631231,"Tanvasoko"
137348.888761019,0,26496562.7689828,26633911.6577438,"Ifira"
121406.650434677,0,45843151.2041342,45964557.8545689,"Pango"
13101032.4113377,9850.40030927652,184714706.599553,197825589.4112,"Erakor"
4443344.06909799,2539.05375377028,79489309.518035,83935192.6408867,"Eratap"
2330890.71216732,2497.38290589355,7192462.76897344,9525850.86404665,"Eton"
187771953.51075,18144.6181347836,133380161.40478,321170259.533665,"Tafea"
1098620.45313695,1255.56623215652,0,1099876.01936911,"North Erromango"
691093.989689648,658.18475208538,0,691752.174441734,"South Erromango"
4318977.57389912,573.95050815935,0,4319551.52440728,"Aniwa"
42601262.5993192,1176.01829121654,0,42602438.6176104,"North Tanna"
20538611.8105187,2588.9006483847,133380161.40478,153921362.115947,"West Tanna"
54179721.0666219,1193.05744159916,0,54180914.1240635,"Middle Bush Tanna"
3943606.58556661,8370.1037734475,0,3951976.68934006,"South West Tanna"
45869314.3951909,1230.56510785221,0,45870544.9602988,"Whitesands"
5206386.39150836,0,0,5206386.39150836,"South Tanna"
291076.545767111,0,0,291076.545767111,"Futuna"
9033282.09953181,1098.27137988228,0,9034380.3709117,"Aneityum"
