"hydro_financial","solar_financial","pole_support_financial","terminals_financial","hv_poles_financial","hv_support_financial","hv_transformer_financial","lv_poles_financial","lv_distribution_financial","total_infrastructure_damage","Region"
0,145500000,192640000,316120000,84280000,155960000,21280000,1131620000,10500000,2057900000,"National"
0,1.5e+07,0,0,0,0,0,0,0,1.5e+07,"Malampa"
0,5e+05,0,0,0,0,0,0,0,5e+05,"North West Malekula"
0,2e+06,0,0,0,0,0,0,0,2e+06,"Central Malekula"
0,1500000,0,0,0,0,0,0,0,1500000,"South West Malekula"
0,1500000,0,0,0,0,0,0,0,1500000,"South East Malekula"
0,2500000,0,0,0,0,0,0,0,2500000,"South Malekula"
0,1500000,0,0,0,0,0,0,0,1500000,"North Ambrym"
0,2500000,0,0,0,0,0,0,0,2500000,"West Ambrym"
0,3e+06,0,0,0,0,0,0,0,3e+06,"Paama"
0,6.3e+07,192640000,316120000,84280000,155960000,21280000,1131620000,10500000,1975400000,"Shefa"
0,3500000,155680000,123760000,20580000,13860000,13020000,549920000,4760000,885080000,"Port Vila"
0,7e+06,0,0,0,0,0,0,0,7e+06,"Vermali"
0,3500000,0,0,0,0,0,0,0,3500000,"Vermaul"
0,7e+06,0,0,0,0,0,0,0,7e+06,"Varisu"
0,3500000,0,0,0,0,0,0,0,3500000,"South Epi"
0,3500000,0,0,0,0,0,0,0,3500000,"North Tongoa"
0,3500000,0,0,0,0,0,0,0,3500000,"Tongariki"
0,17500000,0,0,0,0,0,0,0,17500000,"Makimae"
0,10500000,0,0,0,0,0,0,0,10500000,"Nguna"
0,0,5740000,36260000,30240000,51660000,3080000,105280000,0,232260000,"Malorua"
0,0,0,0,5740000,11060000,0,53340000,0,70140000,"North Efate"
0,0,7420000,2240000,3920000,6580000,280000,42420000,0,62860000,"Mele"
0,0,4060000,56700000,5040000,15260000,980000,107520000,1120000,190680000,"Tanvasoko"
0,0,7e+05,10920000,420000,420000,420000,14280000,140000,27300000,"Ifira"
0,0,5740000,14280000,1680000,1400000,1260000,45920000,280000,70560000,"Pango"
0,0,8260000,22680000,8540000,14980000,1120000,89600000,3920000,149100000,"Erakor"
0,3500000,5040000,48580000,7e+06,39200000,1120000,114240000,280000,218960000,"Eratap"
0,0,0,7e+05,1120000,1540000,0,9100000,0,12460000,"Eton"
0,67500000,0,0,0,0,0,0,0,67500000,"Tafea"
0,5e+06,0,0,0,0,0,0,0,5e+06,"North Erromango"
0,5e+06,0,0,0,0,0,0,0,5e+06,"Aniwa"
0,5e+06,0,0,0,0,0,0,0,5e+06,"North Tanna"
0,5e+06,0,0,0,0,0,0,0,5e+06,"West Tanna"
0,1.5e+07,0,0,0,0,0,0,0,1.5e+07,"Middle Bush Tanna"
0,7500000,0,0,0,0,0,0,0,7500000,"South West Tanna"
0,1.5e+07,0,0,0,0,0,0,0,1.5e+07,"Whitesands"
0,5e+06,0,0,0,0,0,0,0,5e+06,"Futuna"
0,5e+06,0,0,0,0,0,0,0,5e+06,"Aneityum"
