"Region","total_households","island cabbage_households","island cabbage_production","banana_households","banana_production","taro_households","taro_production","kumala_households","kumala_production","manioc_households","manioc_production","yam_households","yam_production"
"National",72482.0546920189,55300.8075752383,6199095.7733402,58044.6888509575,10433175.6904421,84930.5917444382,19897637.1348358,24073.2280095718,4263499.3987993,46255.8151504332,6863664.28487471,40618.0784974468,13932189.4959076
"Torba",2794.95252753011,2540.10889167884,249384.490720518,2640.79867665967,481755.422865787,3741.26845372117,482997.95957327,1617.60990385719,180882.01009363,2390.73536068272,350870.144478335,2251.41602181368,854522.856664811
"Torres",251.536722793333,191.071164429551,13314.5456888646,191.071164429551,19710.2058695074,256.373967462435,14695.8605536734,31.4420903491666,1422.62572727377,112.465938556634,7427.74778759287,240.652922287852,91459.7872608184
"Ureparapara",95.5562924834146,83.2264482920063,4929.61607615389,88.3638833717597,22632.3264386984,118.16100683433,6896.01942666386,54.4568118453868,4460.30162699484,82.1989612760556,11186.1340871724,86.3089093398583,28336.6742279615
"Motalava",403.506543031657,377.212883585985,24606.4426077482,395.416186279143,76937.8968450013,644.194656418961,44972.9884747657,167.874902614674,13213.1573541931,348.896634952185,43918.1977678604,286.196370120198,59962.4767120675
"West Vanualava",352.861855525167,337.202305723754,58394.4774369819,342.422155657559,87203.4404579615,532.424693248033,101751.89656851,185.826657643431,34361.4877844506,331.98245578995,91811.7078913346,251.596766809365,80980.0919541875
"East Vanualava",399.483016622889,367.944883731608,49656.2934037214,379.508865791745,93371.5802233176,538.250801344524,73926.2086729677,217.613116949837,33779.0684434325,359.5347149606,72202.5373828628,237.587267780981,53437.1755008637
"Mota",121.069311546954,118.529395920095,20889.1188012505,117.682757377809,18953.104399186,56.7247823331884,1907.67620057049,105.829817785799,22689.8826961844,115.14284175095,12066.9214361542,109.216371954945,172589.951898743
"East Gaua",736.395575324238,682.571490873357,50657.3505353217,702.438436553662,108602.654630454,1180.66420042959,174860.477090016,556.274479048557,41637.4957892834,648.513869707119,62866.6971795502,641.418531964152,0
"West Gaua",273.387859087372,259.51162491588,20756.2181900247,274.009481056432,46399.4957220617,408.839543163565,63477.3892522792,226.16655579261,22889.8164053238,242.114197547218,30826.0666188485,240.664411933162,76879.7089105526
"Merelava",161.15535111509,122.838694206607,6180.4279804511,149.885746142006,7944.71827959911,5.63480248654159,509.443333823523,72.1254718277324,6428.1742664937,149.885746142006,18564.1343269591,157.774469623165,290876.990199617
"Sanma",15197.264125121,12604.6208339406,1553105.99982266,12826.8385037727,1846560.41824789,20094.1676533974,3711908.29504071,4378.14199645264,542748.415664938,9510.50571226028,886185.610337175,9908.30378076264,1748966.65657712
"Luganville",4011.10961674314,2446.36655088065,171921.58589621,2447.47551123917,229170.612323545,3323.55419446478,384271.274535982,611.037157540906,48731.4762176333,2011.65409034338,161329.541783714,1517.05777044639,114307.427600981
"North West Santo",313.385436919143,256.070106273164,28409.7284623034,269.936718526224,32094.3408333654,486.255869673951,103265.274776121,112.781779658217,8294.05066793253,158.079379684878,13414.2346181216,247.750138921329,85268.3850391484
"Big Bay Coast",899.778336226117,767.026949672711,72687.7580118013,738.43437294261,54583.5180836957,1389.84786018491,145673.001691615,290.898389341028,16326.390223481,274.737367710971,16614.1951793436,604.173577862135,82118.6031336808
"Big Bay Inland",555.824444268251,525.203186008873,109650.796774337,525.203186008873,148936.516106349,973.457998253655,354473.329602855,256.494579213636,70909.1838677602,400.620104676536,69430.8969232661,455.583228793743,83672.3235228517
"West Santo",506.606466711524,449.600991484669,19643.426383626,476.301433507705,27652.4816147369,783.787169063312,228034.459535272,107.663072673532,5328.39025499118,227.384409486499,8253.17547408103,262.697897323418,15801.4180655639
"South Santo 1",1320.33984160773,1224.23406549267,84666.8400987964,1288.47605110763,128750.925743931,2329.68106324446,250158.812196523,349.08852560583,21746.9185025514,859.388071717131,50258.8281141146,1004.84162405289,147544.346679894
"South Santo 2",1263.23800890242,1120.02632923288,153811.275743816,1188.42488368985,130755.036134105,1921.26653858595,331243.474236125,366.420827448051,32841.6530712513,914.830665861967,72937.9799711787,1023.53551133822,189041.219046145
"East Santo",1761.34327423859,1637.9105565951,211413.505556796,1651.77940127414,262302.585203145,2608.72968412818,559599.622856044,737.822536925142,121837.054301259,1206.58948707683,130444.050354727,1392.43200577602,245849.044832208
"South East Santo",2215.88663450749,1929.26798501659,210021.46324304,1964.41932882208,297686.414080593,2551.17637542137,671104.575370479,639.484062307531,60198.7780864452,1539.89925363272,135614.972319998,1406.05375221952,202855.154111256
"Canal Fanafo",1057.72433363789,991.505842308793,332970.329622247,1005.40081907789,259843.435219336,1776.5720297625,426512.934497222,432.729276523157,115857.547220421,869.428546408912,128874.676164829,782.088692431761,252803.513538745
"West Malo",776.294122501475,761.095592994669,94493.5956981012,769.279416575257,168222.744042605,1247.44853721246,159948.550945236,294.617648901162,21367.3187152548,674.580886571312,63030.3450890367,747.066181142232,189770.347255966
