"Region","total_households","kava_households","kava_production","coconut_households","coconut_production","cocoa_households","cocoa_production","coffee_households","coffee_production","vanilla_households","vanilla_production","tahitian lime_households","tahitian lime_production","pepper_households","pepper_production","noni_households","noni_production"
"National",72482.0546920189,35688.0034554228,181728775.461829,31971.7168423883,776592745.742163,6246.63884283028,4074231.76299718,850.279816068263,18412.9991174294,868.780921673508,3707.83825665019,1337.01818754601,1035586.40692706,504.983931069257,1766.69483819393,1518.82548771421,4461825.50451146
"Torba",2794.95252753011,2238.32733292214,1727639.55816235,1041.41177604689,19628868.2176406,58.8508105415167,1208.56389103735,0,0,5.21984993380425,19.8572213549758,7.63847226835553,1266.93211878921,0,0,26.3741074937637,75892.1180089975
"Torres",251.536722793333,239.443611120576,12714.7174375092,84.6517817092947,461327.429349111,3.62793350182691,0,0,0,0,0,2.41862233455128,766.029237762793,0,0,1.20931116727564,344.713156993257
"Ureparapara",95.5562924834146,82.1989612760556,100364.346440649,29.7971234625701,1690983.50495966,4.10994806380278,14.5148798708983,0,0,0,0,0,0,0,0,0,0
"Motalava",403.506543031657,187.089499901896,6917.58737373589,220.462221506018,2390525.93644156,0,0,0,0,0,0,0,0,0,0,0,0
"West Vanualava",352.861855525167,282.91586641219,179994.083480261,130.496248345106,1356144.46009092,28.1871896425429,5.36681658242589,0,0,5.21984993380425,19.8572213549758,5.21984993380425,500.902881026416,0,0,9.39572988084764,5409.7511150853
"East Vanualava",399.483016622889,300.663533563543,259868.167663719,129.306344854251,1261014.98987628,5.25635548188012,10.8086999132253,0,0,0,0,0,0,0,0,15.7690664456404,70137.6537369189
"Mota",121.069311546954,111.756287581804,74220.32591281,4.23319271143197,1932.15010186073,3.38655416914557,0,0,0,0,0,0,0,0,0,0,0
"East Gaua",736.395575324238,603.103708152134,540252.909096499,299.423252753177,9465083.11188464,9.9334728401528,11.4174120481103,0,0,0,0,0,0,0,0,0,0
"West Gaua",273.387859087372,301.555407723481,552501.644001594,136.279847721188,2985921.49760617,4.34935684216558,1166.45608262269,0,0,0,0,0,0,0,0,0,0
"Merelava",161.15535111509,129.600457190457,805.776755575442,6.76176298384991,15935.1373304099,0,0,0,0,0,0,0,0,0,0,0,0
