"Region","total_households_affected","island cabbage_households_damaged","island cabbage_production_damaged","banana_households_damaged","banana_production_damaged","taro_households_damaged","taro_production_damaged","kumala_households_damaged","kumala_production_damaged","manioc_households_damaged","manioc_production_damaged","yam_households_damaged","yam_production_damaged"
"National",45289.6987223164,15214.2360892572,1422409.82007071,16451.2999082427,2708654.48546684,22223.0615485771,5584221.78372522,7682.04891480456,1578701.48069572,13515.8062266408,2198541.00897306,10157.3522068414,3783872.63396085
"Malampa",10353.2774827892,919.020955755478,124057.507476426,974.731710015892,288295.468113027,1356.94216550932,393779.280513414,394.683381274415,83393.4373085658,726.805998480509,106961.69301574,783.763332002738,248268.647568405
"North West Malekula",1188.86767401795,102.330388720001,9240.35531234737,113.102008585265,30677.4346114412,129.957598929982,35301.1865293876,31.1180129440939,2602.36536286514,77.7950323602349,10888.3993642015,105.821191454114,42472.1035169588
"North East Malekula",1539.62290420528,124.166169502756,11085.4858226078,141.743061022072,46624.9418139062,98.6937759105937,7553.12983943593,18.3288440976817,2436.39684946146,88.3544279580554,8866.42324203418,109.97306458609,25507.105603062
"Central Malekula",1541.65738237234,123.640922066262,9484.35806239523,142.038033495905,34472.4358553769,149.951874725417,23959.2876232246,38.6442117181334,3282.33705278321,101.029947124801,8438.36613647093,117.268738219123,26199.9650311911
"South West Malekula",935.199541294908,83.6418418678219,7939.48834684768,90.2988305659027,14937.3792887416,154.184447910388,34227.4467433408,13.8508313234262,1092.41003812402,60.9866061372565,4698.5179314154,69.2541566171311,14635.9849758973
"South East Malekula",1153.86214879327,110.491673273435,19082.6130203681,111.220647555163,44657.8039687071,190.782983446685,80256.2433336467,63.8373192428044,17829.2009129265,85.6024085115583,12323.1219706181,104.555739836502,34116.1874870611
"South Malekula",1202.44366657817,115.84808052507,11833.0731100699,116.679810333968,21313.0987188536,214.348653607412,43615.9310083259,62.6173727556022,8635.91650514794,105.629685730039,17832.6880903969,89.8268193609777,30695.6106474039
"North Ambrym",1007.7042284521,93.8165316803471,15391.7382693648,96.3784915831914,22272.4916352591,184.583111095403,93690.4141884996,40.3813679924511,26416.1626653179,65.8789689302828,25283.9100474812,73.1988543669808,37495.6975906081
"West Ambrym",385.450635837244,35.8888187732073,3237.74881562848,35.8297911107513,8259.50274009087,61.4477966166263,11751.7732921947,22.5485670581664,2854.81093194163,24.3193969318444,2295.43686492311,13.9305283396002,1490.20388725075
