"Region","total_households_affected","kava_households_damaged","kava_production_damaged","coconut_households_damaged","coconut_production_damaged","cocoa_households_damaged","cocoa_production_damaged","coffee_households_damaged","coffee_production_damaged","vanilla_households_damaged","vanilla_production_damaged","tahitian lime_households_damaged","tahitian lime_production_damaged","pepper_households_damaged","pepper_production_damaged","noni_households_damaged","noni_production_damaged"
"National",45289.6987223164,7686.36132745762,14706396.8872673,10411.7125754864,70280715.6021511,881.61099784598,564545.313857773,428.245248371888,9655.06140273739,325.659395285422,1260.26780523496,706.603497253498,655862.427886631,37.958002948491,84.705070340328,468.833630164641,493672.045272014
"Malampa",10353.2774827892,511.93051560152,2299901.70507592,456.810338403735,17911321.0604877,318.154393456944,237066.145662549,0.306943752455532,0.133279344342024,7.7024542282218,36.3398586735162,0.472656541571511,57.5020941288765,19.0856977161789,71.5184238580498,6.93196493208448,10657.1901770892
"North West Malekula",1188.86767401795,52.5615154536459,525542.205154138,61.4381281203906,3003103.95725298,51.5641432438993,58869.0787697825,0,0,1.69553275656922,4.28121520679774,0.0997372209746601,18.430815773422,15.3595320300977,68.4244035588293,1.19684665169592,1409.95740666678
"North East Malekula",1539.62290420528,6.20360877152303,30022.9286142195,103.675461742271,1457553.74236904,79.0490148007708,25292.387894161,0.0939940722958036,0,0.281982216887411,1.0929630726556,0,0,0.751952578366429,0.994692270070341,0.469970361479018,407.703988286663
"Central Malekula",1541.65738237234,16.7526768884461,9572.12251064416,82.6328356951577,2385725.58679766,66.3940446008356,43887.0221810077,0.102777158824823,0.133279344342024,1.3361030647227,2.9108208804298,0,0,1.43888022354752,0.579765147887804,1.43888022354752,2283.87484464492
"South West Malekula",935.199541294908,79.8838643769698,290219.62791907,36.2913254830857,1778399.66090158,30.0638199268166,10935.4171025654,0,0,1.39582021088791,19.4693797492293,0,0,0,0,0.214741570905833,291.001405504496
"South East Malekula",1153.86214879327,74.3553767363171,232958.198958085,81.4368411873949,7688661.41511261,77.6878305956478,89636.3504000716,0,0,1.35380938035311,6.05747603572765,0,0,0.624835098624513,0.0856206666800246,2.08278366208171,825.532132302707
"South Malekula",1202.44366657817,81.7471583602548,319001.973412193,46.2204136658999,1249457.11914048,9.86193916264702,8180.2469890259,0,0,0.356455632384832,0.145362007801438,0,0,0.237637088256555,0,0.594092720641387,76.3150540957547
"North Ambrym",1007.7042284521,78.5667703538928,584870.492230318,4.75792553385375,118353.007800169,0.975984724893078,0,0,0,0.121998090611635,0.102204522849135,0.121998090611635,23.8477219981314,0.121998090611635,0.459920352821106,0,0
"West Ambrym",385.450635837244,16.4687178252053,0,19.4791286104579,0,0.354165974735598,0,0,0,0.059027662455933,0,0.059027662455933,0,0,0,0,0
"South East Ambrym",605.948867341972,55.3066057101223,289553.540939853,9.36466431346692,220823.697610473,2.2034504266981,265.642325934869,0.110172521334905,0,1.10172521334905,2.28043719802549,0,0,0.550862606674525,0.974021861761186,0.550862606674525,2540.35799694022
"Paama",792.520433895933,50.084221125143,18160.6153374038,11.513614051757,9242.87350266046,0,0,0,0,0,0,0.191893567529283,15.2235563573231,0,0,0.383787135058567,2822.4473486477
"Shefa",24030.8306358174,3228.87918993719,7534532.31922045,6232.60462636644,37187145.3463254,547.531713322466,327277.87684368,63.970640182542,1880.40595880861,134.733566372654,268.934100393805,677.626157392313,649130.083158491,11.3828029836956,9.04067202322262,434.79080186856,474120.463598438
"Port Vila",8958.28660829032,259.130005994888,96954.2476496482,1723.57719000162,2246813.40956871,81.761121484392,83.6316378186457,7.25300271232509,6.92433990541477,24.3964636687299,15.970945028593,199.78725653041,136913.084493429,2.63745553175458,0.696930315155383,209.677714774489,138008.389169376
"Vermali",620.505261352837,274.066377385288,1372581.97764073,128.728146953696,14040223.9882031,58.9657963465315,41245.8303797674,1.66100834778962,4.78896664233994,0,0,0,0,0,0,0.830504173894808,10775.1749452649
"Vermaul",467.791975723459,379.02950110821,1799939.41760408,185.983419798438,3635477.1049755,168.326766020106,281872.124939713,14.1253230226662,928.650515669947,5.88555125944425,5.83040792742855,0,0,0,0,2.3542205037777,7523.33360274216
"Varisu",610.02408994337,321.637165019498,1155462.60486133,102.630662342404,215725.022289041,3.665380797943,83.2465853646504,0,0,4.58172599742874,1.87976160500824,0,0,0,0,0,0
"South Epi",470.290296930793,187.156342656132,1815165.50539562,82.540745991935,1582235.86688136,2.87932834855588,6.56756499570265,0,0,6.71843281329704,4.4659441970778,0,0,0,0,0,0
"North Tongoa",327.891570980372,166.388530718122,318627.733729341,99.9646508662235,281691.020544462,3.28831088375735,655.469969495629,0,0,4.60363523726029,6.51268238921939,0.65766217675147,490.201900263825,0,0,0,0
"Tongariki",237.737908455605,85.8678929627323,52835.7900295516,66.1106786527231,582109.329818519,1.51978571615455,14.2432810092501,2.27967857423183,46.9350021828623,0.759892858077276,0,1.51978571615455,189.910413456668,0,0,2.27967857423183,11964.3560477701
"Makimae",232.625876024746,70.0582580121039,34231.1434234296,71.320568967277,157929.348094699,1.26231095517304,20.5325262961689,0.631155477586521,4.10650525923378,1.26231095517304,0.36958547333104,1.26231095517304,95.8184560487882,0,0,1.26231095517304,1293.54915665864
"Nguna",468.181911066327,36.5767118020566,2946.87616323926,148.50144991635,639268.549341425,2.1946027081234,108.129997382732,3.65767118020566,63.74330092624,6.5838081243702,127.03272285112,7.31534236041133,8129.7738772943,0.731534236041133,0.500601839734869,0.731534236041133,84.1011090754583
"Emau",197.239389926415,46.0225243161636,2943.52395105462,84.3746279129663,239460.946832538,0,0,0,0,3.83521035968029,10.3550679711368,3.06816828774424,1073.85890071048,0,0,0,0
"Malorua",1023.64421567205,48.4669741372573,13704.1639161104,240.434205033845,470808.043416122,20.9073221768561,242.405311480948,0.950332826220729,0.459100968713917,5.70199695732439,3.58098755596855,39.9139787012707,46855.8448669424,0.950332826220729,0,10.453661088428,4280.65743228856
"North Efate",872.350722672883,122.476552386647,62041.8376862523,230.186428244408,3529008.64597752,10.4235363733317,211.037061885699,1.73725606222195,519.946384356071,5.21176818666583,16.5771141365288,25.1902129022182,47315.1209764025,1.73725606222195,2.57424435391976,6.0803962177768,5266.75102271267
"Mele",887.60272195239,192.478716611952,24265.4666966309,277.874203559508,653448.000806908,21.6877427168396,118.461333479615,1.35548391980247,5.0951111174028,5.42193567920991,1.83424000226501,39.3090336742718,25501.0311426011,1.35548391980247,0,10.1661293985186,164989.888203738
"Tanvasoko",1904.00050406432,95.2180653925214,4368.08309040279,357.567140669818,508096.151575958,17.9782361230635,32.6925137743244,0.6658605971505,0.90812538262012,2.663442388602,3.81412660700451,13.31721194301,2924.16373203679,0,0,9.98790895725749,4004.83293735474
"Ifira",245.525974562536,0,0,80.9244804051411,89674.1831088439,0.770709337191815,0,0,0,0.770709337191815,1.5633271631566,5.39496536034273,5228.46084566818,0,0,8.47780270911,9520.66242362368
"Pango",486.365911492837,2.69668228154443,0,196.857806552744,324779.735011754,3.37085285193054,211.395093794633,2.69668228154443,9.2885723030975,1.34834114077222,1.34524150596585,20.8992876819693,3721.83483317217,0.674170570386109,0,37.7535519416221,50607.985454435
"Erakor",3298.47690356345,424.552253329817,177368.41625903,1144.61651593793,2779511.23209688,109.339443432969,2140.08672697903,18.7157605876254,34.2304338928187,38.4165612061784,46.5807744413477,202.918246371096,92490.632378396,0,0,112.294563525752,36747.0553926187
"Eratap",1825.63717105486,334.938793408562,105049.504947784,695.770610746464,3440095.60911708,36.7513888029345,119.190160754277,4.17629418215164,4.21625058450506,11.6936237100246,18.4379881330086,60.973895059414,59595.0803771387,1.67051767286066,0.567572194067988,18.3756944014672,24314.7927938726
"Eton",896.651622087837,182.117842413695,496046.026176201,314.641093812947,1770789.15866504,2.43907824661199,112.831759688271,4.06513041101999,251.113349617341,4.87815649322399,2.78318340564401,56.0987996720759,218605.265964931,1.62605216440799,4.70132332034462,4.06513041101999,4738.93390690737
"Tafea",10905.5906037098,3945.55162191891,4871962.86297088,3722.29761071619,15182249.195338,15.9248910665701,201.291351544258,363.967664436891,7774.52216458444,183.223374684546,954.993846167641,28.5046833196135,6674.84263401055,7.48950224861655,4.14597445905559,27.110863363996,8894.39149648701
"North Erromango",374.158737182642,113.628744010164,65434.65578419,156.945779019564,1332642.40956576,2.51113246431303,111.10497161734,6.2778311607826,52.466236597077,1.25556623215652,1.48139962156453,0,0,0,0,0,0
"South Erromango",151.382492979637,58.578442935599,13793.7491578134,73.058507481477,442232.531680269,1.31636950417076,61.6710096474515,1.97455425625614,10.792426688304,1.31636950417076,0,0,0,0,0,0,0
"Aniwa",140.043923990882,0,0,2.86975254079676,754.869690079145,0,0,0,0,0,0,0,0,0,0,0,0
"North Tanna",1021.95989506718,478.610177101591,3913984.92281294,289.015807428497,2031968.18860075,0.578031614856995,0,26.5894542834218,1196.96268998166,2.89015807428497,19.279304768905,0,0,0,0,0,0
"West Tanna",3601.9013798503,1107.74808434746,137769.974693077,1159.35125597855,2841692.43582633,5.16031716310925,28.5153702794662,75.6846517256025,1205.38543795629,47.3029073285016,306.825384207056,2.58015858155464,1045.56357691376,0,0,9.4605814657003,2224.19888179836
"Middle Bush Tanna",1581.98340313245,748.82923098724,208340.136353735,650.25218709836,2277773.30739557,1.78151284136536,0,131.831950261037,2910.54513468557,5.93837613788455,7.62434579881365,0,0,0,0,0,0
"South West Tanna",1424.05385466799,602.950461870065,255197.81837299,481.148408768675,3603622.25697887,1.21196072737701,0,63.021957823605,1926.0608223842,1.21196072737701,1.31491240471465,1.21196072737701,133.396910623226,0,0,7.8777447279506,1680.80107385265
"Whitesands",1782.97527561199,522.333112341895,21857.980403666,674.92480808222,2150707.76008441,1.7606734123884,0,32.8659036979168,199.524965790417,0,0,0.5868911374628,456.989696697889,0,0,2.3475645498512,3393.14849798183
"South Tanna",403.851005201499,158.520955312738,61348.358805418,108.196842515043,398456.049025141,0,0,16.9843880692219,210.095007667802,11.3229253794813,28.6240960556939,3.14525704985591,377.646932344911,0,0,3.14525704985591,679.76447822084
