"num_households_affected","water","tin_fish","rice","island_cabbage_cuttings","taro_seedlings","kumala_cuttings","manioc_cuttings","yam_cuttings","Region"
45289.6987223164,1268133,634054,1268113,905795,1811587,4528969,2264485,679347,"National"
10353.2774827892,289897,144945,289892,207064,414131,1035327,517663,155300,"Malampa"
1188.86767401795,33289,16644,33288,23777,47555,118887,59443,17833,"North West Malekula"
1539.62290420528,43110,21555,43109,30792,61585,153962,76981,23094,"North East Malekula"
1541.65738237234,43167,21583,43166,30833,61666,154166,77083,23125,"Central Malekula"
935.199541294908,26186,13093,26186,18704,37408,93520,46760,14028,"South West Malekula"
1153.86214879327,32309,16154,32308,23077,46154,115386,57693,17308,"South East Malekula"
1202.44366657817,33669,16834,33668,24049,48098,120244,60122,18037,"South Malekula"
1007.7042284521,28216,14108,28216,20154,40308,100770,50385,15116,"North Ambrym"
385.450635837244,10793,5396,10793,7709,15418,38545,19273,5782,"West Ambrym"
605.948867341972,16967,8483,16967,12119,24238,60595,30297,9089,"South East Ambrym"
792.520433895933,22191,11095,22191,15850,31701,79252,39626,11888,"Paama"
24030.8306358174,672874,336430,672864,480619,961234,2403084,1201542,360462,"Shefa"
8958.28660829032,250833,125416,250832,179166,358331,895829,447914,134374,"Port Vila"
620.505261352837,17375,8687,17374,12410,24820,62051,31025,9308,"Vermali"
467.791975723459,13099,6549,13098,9356,18712,46779,23390,7017,"Vermaul"
610.02408994337,17081,8540,17081,12200,24401,61002,30501,9150,"Varisu"
470.290296930793,13169,6584,13168,9406,18812,47029,23515,7054,"South Epi"
327.891570980372,9181,4590,9181,6558,13116,32789,16395,4918,"North Tongoa"
237.737908455605,6657,3328,6657,4755,9510,23774,11887,3566,"Tongariki"
232.625876024746,6514,3257,6514,4653,9305,23263,11631,3489,"Makimae"
468.181911066327,13110,6555,13109,9364,18727,46818,23409,7023,"Nguna"
197.239389926415,5523,2761,5523,3945,7890,19724,9862,2959,"Emau"
1023.64421567205,28663,14331,28662,20473,40946,102364,51182,15355,"Malorua"
872.350722672883,24426,12213,24426,17447,34894,87235,43618,13085,"North Efate"
887.60272195239,24853,12426,24853,17752,35504,88760,44380,13314,"Mele"
1904.00050406432,53313,26656,53312,38080,76160,190400,95200,28560,"Tanvasoko"
245.525974562536,6875,3437,6875,4911,9821,24553,12276,3683,"Ifira"
486.365911492837,13619,6809,13618,9727,19455,48637,24318,7295,"Pango"
3298.47690356345,92358,46179,92357,65970,131939,329848,164924,49477,"Erakor"
1825.63717105486,51118,25559,51118,36513,73025,182564,91282,27385,"Eratap"
896.651622087837,25107,12553,25106,17933,35866,89665,44833,13450,"Eton"
10905.5906037098,305362,152679,305357,218112,436222,1090558,545280,163585,"Tafea"
374.158737182642,10477,5238,10476,7483,14966,37416,18708,5612,"North Erromango"
151.382492979637,4239,2119,4239,3028,6055,15138,7569,2271,"South Erromango"
140.043923990882,3922,1961,3921,2801,5602,14004,7002,2101,"Aniwa"
1021.95989506718,28615,14307,28615,20439,40878,102196,51098,15329,"North Tanna"
3601.9013798503,100854,50427,100853,72038,144076,360190,180095,54029,"West Tanna"
1581.98340313245,44296,22148,44296,31640,63279,158198,79099,23730,"Middle Bush Tanna"
1424.05385466799,39874,19937,39874,28481,56962,142405,71203,21361,"South West Tanna"
1782.97527561199,49924,24962,49923,35660,71319,178298,89149,26745,"Whitesands"
403.851005201499,11308,5654,11308,8077,16154,40385,20193,6058,"South Tanna"
87.3229637301334,2446,1223,2445,1746,3493,8732,4366,1310,"Futuna"
335.957672295088,9407,4703,9407,6719,13438,33596,16798,5039,"Aneityum"
