"Region","total_cash_financial","kava_financial","coconut_financial","cocoa_financial","coffee_financial","vanilla_financial","tahitian_lime_financial","pepper_financial","noni_financial"
"National",31829459043.3384,22941979144.1369,8433685872.25813,33872718.8314664,5406834.38553294,12602678.0523496,147569046.274492,101646.084408394,254241103.315087
"Malampa",5757379842.16089,3587846659.91844,2149358527.25852,14223968.7397529,74.6364328315335,363398.586735162,12937.9711789972,85822.1086296597,5488452.94120096
"North West Malekula",1184605656.07132,819845840.040455,360372474.870358,3532144.72618695,0,42812.1520679774,4146.93354901995,82109.2842705952,726128.064433392
"North East Malekula",223481851.811535,46835768.6381824,174906449.084285,1517543.27364966,0,10929.630726556,0,1193.63072408441,209967.553967631
"Central Malekula",305058876.971591,14932511.1166049,286287070.415719,2633221.33086046,74.6364328315335,29108.208804298,0,695.718177465365,1176195.54499213
"South West Malekula",667151263.40942,452742619.553749,213407959.30819,656125.026153924,0,194693.797492293,0,0,149865.723834815
"South East Malekula",1291918167.76542,363414790.374613,922639369.813513,5378181.0240043,0,60574.7603572765,0,102.74480001603,425149.048135894
"South Malekula",648109503.512158,497643078.523021,149934854.296858,490814.819341554,0,1453.62007801438,0,0,39302.2528593137
"North Ambrym",926607268.502418,912397967.879296,14202360.9360203,0,0,1022.04522849135,5365.73744957957,551.904423385327,0
"West Ambrym",0,0,0,0,0,0,0,0,0
"South East Ambrym",479550563.685622,451703523.866171,26498843.7132568,15938.5395560921,0,22804.3719802549,0,1168.82623411342,1308284.36842421
"Paama",30896690.4314031,28330559.9263499,1109144.82031926,0,0,0,3425.3001803977,0,1453560.38455357
"Shefa",16629944056.7647,11753870417.9839,4462457441.55905,19636672.6106208,1053027.33693282,2689341.00393805,146054268.71066,10848.8064278671,244172038.753196
"Port Vila",522915441.210226,151248626.333451,269617609.148245,5017.89826911874,3877.63034703227,159709.45028593,30805444.0110214,836.316378186459,71074320.4222286
"Vermali",3834081410.44483,2141227885.11955,1684826878.58437,2474749.82278604,2681.82131971036,0,0,0,5549215.09681141
"Vermaul",3265527936.72927,2807905491.46237,436257252.59706,16912327.4963828,520044.28877517,58304.0792742855,0,0,3874516.80541221
"Varisu",1828432458.66954,1802521663.58368,25887002.6746849,4994.79512187902,0,18797.6160500824,0,0,0
"South Epi",3021571545.9388,2831658188.41717,189868304.025763,394.053899742159,0,44659.441970778,0,0,0
"North Tongoa",531076937.532729,497059264.617773,33802922.4653355,39328.1981697377,0,65126.8238921939,110295.427559361,0,0
"Tongariki",158508463.430035,82423832.4461005,69853119.5782222,854.596860555005,26283.6012224029,0,42729.8430277503,0,6161643.36460159
"Makimae",73047069.9294605,53400583.7405502,18951521.7713639,1231.95157777014,2299.64294517092,3695.8547333104,21559.1526109773,0,666177.8156792
"Nguna",84494975.9282698,4597126.81465324,76712225.920971,6487.79984296391,35696.2485186944,1270327.2285112,1829199.12239122,600.722207681843,43312.071173861
"Emau",33672379.915921,4591897.36364521,28735313.6199046,0,0,103550.679711368,241618.252659859,0,0
"Malorua",90673175.8825486,21378495.7091323,56496965.2099347,14544.3186888569,257.096542479793,35809.8755596855,10542565.095062,0,2204538.57762861
"North Efate",534097275.737786,96785266.7905536,423481037.517303,12662.2237131419,291169.9752394,165771.141365288,10645902.2196906,3089.09322470372,2712376.77669702
"Mele",207003715.917841,37854128.0467442,78413760.096829,7107.6800087769,2853.26222574557,18342.4000226501,5737732.00708524,0,84969792.424925
"Tanvasoko",70546784.9797001,6814209.62102835,60971538.189115,1961.55082645946,508.550214267267,38141.2660700451,657936.839708278,0,2062488.96273769
"Ifira",16856080.0831344,0,10760901.9730613,0,0,15633.271631566,1176403.69027534,0,4903141.1481662
