"Region","total_population","marital_defacto","marital_married","marital_never married","marital_separated","marital_widowed"
"National",348052.878886167,41358.4162882693,99728.6806224758,55564.4257318623,3254.60644989021,7500.52944981691
"Torba",13286.7717523727,909.768425080055,4376.25029478109,2016.43683631521,83.7331351641243,331.243248028623
"Torres",1439.13464556176,95.5536262828609,367.700030253034,279.403641409378,2.41907914640154,9.67631658560616
"Ureparapara",478.808949433024,29.7971234625701,160.287974488308,79.1165002282035,4.10994806380278,19.5222533030632
"Motalava",1712.08513698758,116.286444597005,627.946800823826,256.841364588167,21.2349159698879,57.6376290611242
"West Vanualava",1588.68847204886,168.203375420164,509.866481742372,200.792779407821,5.25635548188012,29.4355906985287
"East Vanualava",1836.24167878944,230.778932433566,532.566767154384,297.610840468626,15.6637284457172,22.9734683870518
"Mota",505.452383157247,22.8613151067404,182.890520853924,68.5839453202213,1.69343074864744,21.167884358093
"East Gaua",3586.499645509,131.965151958566,1305.14985453527,494.506778218364,21.7524975755878,91.360489817469
"West Gaua",1410.71739912728,29.8004185204584,520.797790333726,204.345726997429,7.09533774296629,41.1529589092045
"Merelava",729.143441758482,84.5220372981238,169.044074596248,135.235259676998,4.50784198923327,38.3166569084828
"Sanma",70430.4751235044,7682.36229516868,21438.0366526588,10579.5642698497,619.974832653884,1432.40908925362
"Luganville",19649.6592929199,3231.50283784613,4806.22282059888,3586.36931283266,225.118420069583,446.909966936167
"North West Santo",1473.64619089702,54.5582089891188,554.82924395714,228.404705429023,2.7741462197857,36.9886162638093
"Big Bay Coast",3769.62188424037,227.644149865582,1352.4081021571,546.12167972679,14.5781967894215,59.4341869107184
"Big Bay Inland",2568.23581172683,13.4676949238559,990.997884813732,384.951613240215,17.9569265651412,39.2807768612464
"West Santo",2348.02855663561,46.5104473949658,861.304581388255,285.091816439512,15.5034824649886,74.0721939993899
"South Santo 1",5385.79622343122,444.480939143744,1731.97981334618,594.065870586351,29.9169862885213,126.078727930197
"South Santo 2",5123.54881934176,582.169160436253,1529.66282154994,706.080394584153,39.5234108920025,80.1150220783835
"East Santo",8440.53089261334,997.141591520522,2375.66557200925,1220.42364469827,81.8238579968161,194.158307111089
"South East Santo",10249.3026150994,1249.21367762597,3114.92241693749,1538.53372850471,93.2854369655758,181.163022512857
"Canal Fanafo",5998.13939485167,459.084310701833,2105.15933918087,816.286274376254,68.7398967895792,99.4273507134986
"West Malo",3117.21473717594,210.441177786544,1210.03677227263,363.595590508974,21.0441177786544,67.8088239534421
"East Malo",2306.75070457123,166.148098934161,804.8472844473,309.639638922755,9.70995383381461,26.9720939828184
"Penama",41745.4100652423,2584.08800394761,13968.0080193225,5465.46456203894,225.015831553651,929.721626991831
"West Ambae",2645.10505223571,281.160612369748,734.362845906254,450.812766575856,34.249026435975,35.0455154228581
"North Ambae",2567.26198287333,334.198596265836,643.115029220781,301.015756920292,10.2708788450493,50.5643266217813
"East Ambae",1879.53843588359,214.663784873358,533.489321900455,239.119152770323,16.3035785979766,33.5129115625074
"South Ambae",913.813235198296,83.0024454859018,273.153502417241,111.67601756285,3.77283843117736,20.3733275283577
"North Maewo",3350.35988042659,189.436803677618,1244.69694724076,450.5195779769,9.7147078809035,94.7184018388091
"South Maewo",3032.31358416725,220.822836208486,1012.90474869545,398.441204463138,6.40066191908655,51.2052953526924
"North Pentecost",7934.75162543353,537.608933449429,2477.47136508643,985.812442517772,49.4082608421795,229.395496767262
"Central Pentecost 1",5029.19747204516,41.4274405360283,1972.80328897432,685.695567492883,27.14211621326,127.139386472639
"Central Pentecost 2",6762.75439616066,320.809727437973,2401.29493856764,875.059724628684,31.3983988556314,176.104063146802
"South Pentecost",7630.31440081816,360.956823643232,2674.71603131316,967.312351130244,36.3553635324119,111.662902278122
"Malampa",47625.9886857346,4027.76309034001,15385.3990139031,7193.31414587471,343.090561479016,1118.02886057714
"North West Malekula",5488.43875478311,504.624127922743,1611.60591052006,720.03679913087,36.8993927532441,142.611166586862
"North East Malekula",6406.6908905057,765.144544809038,1956.10048863343,864.782532216603,61.0987658631296,144.757076044953
"Central Malekula",6582.92043905141,746.186779364219,2156.33589959522,949.69226464537,37.0009973238456,105.863964565447
"South West Malekula",4053.30947912852,83.755652064443,1519.41343168188,598.10125897301,32.2137123324781,104.157669875012
"South East Malekula",5529.91817138101,619.699603584875,1595.5962902387,762.386739200216,28.120822347549,107.275729696205
"South Malekula",5329.04745680728,312.50325386025,1783.52617507314,925.62750858226,43.9643360944078,153.281063680503
"North Ambrym",4513.88336760198,342.797173092023,1368.74885483719,860.042729643687,36.5975629635612,146.390251854245
"West Ambrym",5559.5187269909,447.11201234323,1830.66463422936,869.277860907654,42.2165848564424,103.622526465813
"South East Ambrym",2537.43817757296,127.463233156177,1068.32586140177,365.306998117702,6.57026975031839,53.8762119526108
"Paama",1624.82322191172,78.4767101430132,495.081467692342,278.059454457343,18.4081171940401,56.1931998554909
"Shefa",113793.897787538,20445.0082254626,27535.8191672743,21504.3280674122,1505.21082796035,2353.18019160579
"Port Vila",38801.5043907089,7690.06677187301,8570.7885297982,8462.46446331542,737.545600487085,700.809612723361
"Vermali",2829.45074358279,293.049329931455,838.809215633759,399.828438003645,26.1015597509798,81.8639828553457
"Vermaul",2239.22502473362,319.467690737972,618.651718571946,296.648569970974,7.60637358899934,53.2446151229954
"Varisu",1699.16581276072,208.141266740334,952.999007465179,331.193336385563,7.85438742416356,60.2169702519206
"South Epi",2557.04851226475,394.825824623026,651.188426027561,286.522907452127,6.85461501081643,56.2078430886947
"North Tongoa",1508.90770450048,171.016400500842,373.041269224364,264.981455721085,15.0344088352389,73.2927430717895
"Tongariki",1144.18153201921,144.379643034683,316.983877940807,187.80209206767,11.9411734840715,19.5401020648443
"Makimae",1001.72014723783,95.5684079615243,280.394102604095,199.251114712235,19.8349525957881,36.0635501741601
"Nguna",1870.63754644804,261.262227157548,535.065041218657,295.748841142344,7.31534236041133,50.1623476142491
"Emau",807.585724309822,149.025316833291,159.983060718092,107.385890071048,5.47887194240042,32.8732316544025
"Malorua",5055.7706354943,752.120551037551,1402.41972783717,775.200062531483,38.0133130488293,105.894229207453
"North Efate",4405.19640161633,637.829397642225,1121.78555538632,673.815881166786,21.0955248247428,122.850409273502
"Mele",6888.0832089431,969.60238590623,1924.49153378657,1408.05687907779,45.6110378802627,203.042684757299
"Tanvasoko",9144.25681252584,1946.21540252846,1903.41007842593,1843.48262468238,136.025807703602,156.952855042618
"Ifira",1410.42274951096,155.256454262985,379.882813622196,368.871717575176,15.4155344658282,16.5166440705303
"Pango",2204.51295765632,413.147003211618,505.599479454778,435.297075644875,20.2239791781911,44.3001448665139
"Erakor",16493.9106462183,3305.63207737836,3553.3082142956,2932.71062122456,256.119641584871,299.744415700975
"Eratap",9125.80659223213,1719.44675040822,2254.01451181203,1582.22511522644,107.390844924872,143.187793233162
"Eton",4606.5106447749,818.955323693237,1193.003003451,652.840981440566,19.7478588691986,96.4160168319697
"Tafea",61170.3354717748,5709.4262482704,17025.1674745361,8805.31785037165,477.581261079181,1335.94643335991
"North Erromango",2246.28685916169,96.6955741736556,675.61323253801,360.410776465444,6.27893338789972,31.3946669394986
"South Erromango",1013.60451821149,27.6437595875859,311.97957248847,156.64797099632,1.31636950417076,3.94910851251228
"Aniwa",538.365576653472,64.2824569138473,171.037251431487,53.951347766979,3.44370304895611,4.59160406527481
"North Tanna",5434.67125257786,843.9401410592,1150.30197308754,676.308195232373,60.1162840206553,119.076485656298
"West Tanna",22741.9667093492,2298.06124330466,6192.38059573112,3398.92890476797,147.929092009132,438.626958864288
"Middle Bush Tanna",8186.60994297228,530.879348427939,2587.88836739257,1218.52843733124,62.9454260999569,198.337474692317
"South West Tanna",7905.67316763517,598.728798446838,2354.91914044981,999.901333438544,81.2041082913727,118.776158396336
"Whitesands",8995.93549801614,804.040858324037,2515.41541516556,1332.24288204056,66.9055896707593,320.442561054689
"South Tanna",2014.3550298725,305.819488403636,471.943654943883,224.015921546696,30.2043939164085,59.1502714196333
"Futuna",473.963108572271,21.6055384002561,108.858674247444,114.67554997059,3.32392898465478,11.6337514462917
