"Region","total_population","employ_government","employ_private","employ_employer","employ_self-employed","employ_voluntary","employ_unpaid","employ_own consumption"
"National",348052.878886167,11392.3281945444,21410.1476345087,3503.02571144868,22732.5078461825,2061.70918982367,9171.61055831158,18847.1696681762
"Torba",13286.7717523727,287.256508023608,298.888610297968,59.4497542912183,524.73730905538,99.349653211265,583.039001906487,899.703213368882
"Torres",1439.13464556176,24.7775963176616,10.7512800937834,0,8.51787651888039,0,14.487518870518,10.8751032125257
"Ureparapara",478.808949433024,4.10994806380278,6.16492209570417,1.02748701595069,6.16492209570417,4.10994806380278,13.357331207359,95.5562924834146
"Motalava",1712.08513698758,15.2440630096476,10.8317675016696,12.111173681745,72.3578936913508,38.0755068361882,71.9797728598313,135.57320424136
"West Vanualava",1588.68847204886,26.3690064366195,11.1889261881493,2.11684301382049,109.056870900821,1.00231053008215,99.3411552748315,112.60010085816
"East Vanualava",1836.24167878944,115.231920763325,105.414351924455,9.23849186483283,69.1603521388267,16.5507318215365,48.3797623454008,80.3164183171284
"Mota",505.452383157247,8.81533879772485,5.37263007322825,1.77319188469224,1.79629372044599,2.6515538160283,0,0
"East Gaua",3586.499645509,74.9011849819285,133.581059120156,33.182566830177,172.945994983147,27.701048305723,244.444798883208,180.553392637345
"West Gaua",1410.71739912728,15.5535286582812,14.4567128035136,0,80.2292630169708,1.36983035674584,78.6520969949469,128.7081529904
"Merelava",729.143441758482,2.25392099461664,1.12696049730832,0,4.50784198923327,7.88872348115823,12.3965654703915,155.520548628548
"Sanma",70430.4751235044,2214.70639066401,4814.14383790279,707.65720959747,7500.39287648895,317.013684667801,1207.54972780417,6325.31444684683
"Luganville",19649.6592929199,1210.20861766475,2897.21242569368,360.147454971621,886.915170440198,85.4631867516833,121.083408081902,184.392635386265
"North West Santo",1473.64619089702,29.7181757191045,24.5183126468087,0,20.8341179921238,4.84164138000287,142.924689555959,108.084386337815
"Big Bay Coast",3769.62188424037,58.438580935577,12.2768210916885,2.17756534351493,429.488986651723,24.3687826334763,257.575625722391,775.540367049572
"Big Bay Inland",2568.23581172683,6.6700881242021,26.743676685203,3.38382551869242,187.068765725757,0,4.31766140788205,252.139534606466
"West Santo",2348.02855663561,29.0620750680264,22.1769885788887,4.18690555885604,168.577734025333,10.4006057325922,16.7568194142633,391.275652661714
"South Santo 1",5385.79622343122,69.953894518392,42.8170587156327,16.2801266238695,233.959031079668,13.0503992100796,114.708612758636,1062.29614307063
"South Santo 2",5123.54881934176,87.3901164989329,215.533981344571,24.8733314094855,547.809325536101,45.2852320719712,114.05613287511,516.634088571128
"East Santo",8440.53089261334,199.0501510165,316.654640255302,34.7615960664449,1146.88629852167,48.2598305528338,36.1299170440483,832.942892894676
"South East Santo",10249.3026150994,363.773850789694,819.407991589487,123.750163619892,1131.29180028187,54.3318934021798,133.225560001604,536.211480336745
"Canal Fanafo",5998.13939485167,53.312566222822,323.978248507544,122.51351988701,1777.72931801969,6.067845986894,25.2200344240375,520.075857070902
"West Malo",3117.21473717594,71.4543754258918,65.9144608745659,8.1612633693122,625.630011345677,17.9472871436425,51.7192771247676,713.390500349629
"East Malo",2306.75070457123,35.6738986801133,46.9092319194165,7.42145722877183,344.202316869142,6.99697980244587,189.831989393568,432.330908511284
