"Region","total","diff_communication","diff_hearing","diff_remembering","diff_seeing","diff_selfcare","diff_walking"
"National",17019.3367741137,1618.21630379848,2715.42998322171,2384.19248145494,4223.80309222122,1451.79727133155,4625.89764208585
"Torba",950.28485964472,98.3244620753697,170.258951464131,153.650979847391,212.567361442561,66.3420098245438,249.141094990723
"Torres",105.229942868467,3.62861871960231,24.1907914640154,18.1430935980116,19.3526331712123,1.20953957320077,38.7052663424247
"Ureparapara",54.4568118453868,7.19240911165486,8.21989612760556,11.3023571754576,8.21989612760556,6.16492209570417,13.357331207359
"Motalava",229.53932976974,20.2237294951313,46.514577838802,24.2684753941575,67.7494938086898,14.1566106465919,56.6264425863676
"West Vanualava",129.306344854251,12.6152531565123,17.8716086383924,31.5381328912807,31.5381328912807,5.25635548188012,30.4868617949047
"East Vanualava",97.1151163634465,14.6194798826694,18.7964741348606,20.8849712609562,12.5309827565737,6.26549137828687,24.0177169500997
"Mota",83.8248220580483,5.92700762026604,13.5474459891795,11.0072998662084,24.5547458553879,3.38686149729488,25.4014612297116
"East Gaua",152.267483029115,20.3023310705487,27.5531635957446,24.6528305856662,23.202664080627,20.3023310705487,36.2541626259797
"West Gaua",29.8004185204584,1.41906754859326,5.67627019437303,2.83813509718651,8.51440529155954,2.83813509718651,8.51440529155954
"Merelava",68.7445903358075,12.3965654703915,7.88872348115823,9.01568397846654,16.9044074596248,6.76176298384991,15.7774469623165
"Sanma",3851.88126361472,305.753927435056,624.986580914476,502.498955668971,1034.26027617766,318.302253992129,1066.07926942642
"Luganville",1022.45903105495,73.1912104659727,160.798871478273,109.786815698959,313.835038816216,97.588280621297,267.258813974234
"North West Santo",58.2570706154997,6.47300784616664,8.3224386593571,10.1718694725476,11.0965848791428,8.3224386593571,13.8707310989285
"Big Bay Coast",99.8045780198856,8.97119802425938,15.6995965424539,13.4567970363891,16.8209962954863,8.97119802425938,35.8847920970375
"Big Bay Inland",71.827706260565,6.73384746192796,13.4676949238559,11.2230791032133,19.0792344754626,4.48923164128531,16.8346186548199
"West Santo",254.946156090923,18.0873962091534,42.2039244880245,33.5908786741419,73.2108894180017,19.8100053719299,68.0430619296721
"South Santo 1",521.410332457085,40.6016242487074,104.709452009824,84.4086398854707,120.736408950104,34.1908414725957,136.763365890383
"South Santo 2",339.687693612346,24.5686067707043,53.4100147189223,39.5234108920025,104.683628849088,20.2958055931905,97.2062267884386
"East Santo",355.032333003134,27.7369010158699,47.1527317269788,45.7658866761853,85.9843931491966,33.2842812190438,115.10813921586
"South East Santo",402.884930662922,33.7990713643391,64.894217019531,62.1902913103839,98.6932883838701,31.095145655192,112.212916929606
"Canal Fanafo",400.164399167907,44.1899336504438,68.7398967895792,47.8724281213141,100.654848870455,45.4174318074006,93.2898599287147
"West Malo",120.419118400078,11.6911765436969,17.5367648155454,17.5367648155454,26.8897060505029,10.5220588893272,36.2426472854604
"East Malo",204.98791426942,9.70995383381461,28.0509777421311,26.9720939828184,62.5752580401386,4.31553503725094,73.3640956332659
"Penama",2446.55572206546,237.032591738091,361.886513082134,359.964331719571,668.085472917573,201.328414624992,618.258397983099
"West Ambae",187.174911917537,17.522757711429,27.0806255540267,22.3016916327279,53.3647621211703,17.522757711429,49.3823171867546
"North Ambae",173.814872762373,29.2325013282173,33.182839345544,19.7516900866333,37.923244966336,15.0112844658413,38.7133125698013
"East Ambae",129.522874417258,13.5863154983138,22.6438591638563,10.869052398651,36.2301746621701,10.869052398651,35.3244202956159
"South Ambae",22.6370305870641,2.26370305870641,5.2819738036483,2.26370305870641,6.79110917611924,1.50913537247094,4.52740611741283
"North Maewo",95.9327403239222,12.1433848511294,12.1433848511294,18.2150772766941,21.8580927320329,8.50036939579056,23.0724312171458
"South Maewo",177.618368254652,11.2011583584015,24.0024821965746,30.4031441156611,56.0057917920073,19.2019857572596,36.8038060347477
"North Pentecost",450.55628339416,38.8207763759982,52.9374223309066,79.9943270778144,130.578975082903,34.115227724362,114.109554802176
"Central Pentecost 1",499.986351296894,34.2847783746441,78.5692837752262,89.9975432334409,145.710308092238,27.14211621326,124.282321608085
"Central Pentecost 2",432.751845097181,54.605911053272,70.9876843692536,62.7967977112628,88.734605461567,51.8756155006084,103.751231001217
"South Pentecost",276.560444014419,23.3713051279791,35.0569576919686,23.3713051279791,90.8884088310297,15.5808700853194,88.2915971501431
"Malampa",2876.80131363192,292.826958240618,465.672782398743,370.958033464245,684.835074193587,243.002938453383,819.505526881346
"North West Malekula",337.08093920531,34.9048309827984,54.8504486872547,48.8667633759178,83.7715943587162,24.9320221305703,89.7552796700531
"North East Malekula",383.512253417798,40.4191835709934,60.1587848498507,56.398860796735,90.238177274776,39.4792025577145,96.8180443677284
"Central Malekula",292.924562147111,30.834164436538,44.1956356923711,38.0288028050635,76.057605610127,24.6673315492304,79.1410220537808
"South West Malekula",117.043154808004,12.8854849329912,27.9185506881477,11.8116945219086,26.8447602770651,4.29516164433041,33.2875027435607
"South East Malekula",156.226790819716,19.7887268371641,20.8302387759622,20.8302387759622,33.3283820415395,11.4566313267792,49.9925730623093
"South Malekula",291.11519846297,34.4585336956169,41.58788549471,29.7056324962215,49.905462593652,28.5174071963726,106.940276986397
"North Ambrym",444.050430624541,46.3569130871774,84.1743948161906,56.1162632107938,109.792688890683,39.0374004944652,108.572770125231
"West Ambrym",391.462877759738,38.3787135058567,63.3248772846635,47.9733918823209,86.3521053881775,38.3787135058567,117.055076192863
"South East Ambrym",226.017279410953,14.4545934507005,28.9091869014009,30.2232408514646,57.8183738028018,15.7686474007641,78.8432370038206
"Paama",237.367826975781,20.3458137407812,39.7227792081918,31.003144747857,70.7259239560489,16.4704206472991,59.0997446756025
"Shefa",4358.48296506979,429.174267716539,685.500169444103,581.826541004017,1098.9366994623,363.398029595773,1199.64725784706
"Port Vila",1344.16037279064,116.80160212056,197.809164881594,155.421486692681,417.283143059743,109.266014886976,347.578961149086
"Vermali",202.880305337161,40.3387741606051,29.6608633533861,41.5252086947405,42.711643228876,11.8643453413544,36.7794705581988
"Vermaul",7.60637358899934,0,1.26772893149989,0,1.26772893149989,0,5.07091572599956
"Varisu",213.37752502311,24.8722268431846,40.5810016915117,31.4175496966542,41.8900662622056,24.8722268431846,49.7444536863692
"South Epi",102.819225162246,8.22553801297971,12.3383070194696,21.9347680346126,26.0475370411024,6.85461501081643,27.4184600432657
"North Tongoa",85.508200250421,8.45685496982187,14.0947582830364,12.2154571786316,32.887769327085,9.39650552202429,8.45685496982187
"Tongariki",202.999949229216,22.7967857423183,35.8235204522145,27.139030645617,46.6791327104613,20.625663290669,49.9358163879354
"Makimae",61.3080352960721,11.720653806602,6.31112128047802,14.425420069664,8.11429878918603,7.21271003483202,13.52383131531
"Nguna",153.622189568638,9.40544017767171,30.3064183502755,19.8559292639736,40.7569074365774,9.40544017767171,43.892054162468
"Emau",42.7352011507233,6.57464633088051,8.76619510784067,6.57464633088051,6.57464633088051,6.57464633088051,7.67042071936059
"Malorua",190.066565244146,23.0795114939321,33.9404580793119,27.1523664634495,42.0861680183467,16.2914198780697,47.5166413110366
"North Efate",136.500454748336,11.1682190248639,23.5773512747126,13.6500454748336,37.2273967495462,11.1682190248639,39.7092231995159
"Mele",282.494170097111,27.9551522491933,42.6683902750845,39.7257426699062,30.8977998543715,27.9551522491933,113.291932799362
"Tanvasoko",236.856126700678,24.7319650370186,39.0004064045293,24.7319650370186,58.0249948945436,21.8782767635164,68.4885185640514
"Ifira",74.8754531197372,5.50554802351009,14.3144248611262,7.70776723291412,22.0221920940404,4.40443841880807,20.9210824893383
"Pango",53.930611141843,3.85218651013164,9.6304662753291,7.70437302026328,8.66741964779619,4.81523313766455,19.2609325506582
"Erakor",540.384298728519,43.6247741161043,68.9552881190036,78.8060435645756,125.245319236558,36.5885202264101,187.164353465867
"Eratap",220.747847901125,21.4781689849743,35.7969483082906,27.4443270363561,51.3089592418832,20.284937374698,64.434506954923
"Eton",205.610059991068,18.5862201121869,40.6573564954089,24.3944138972454,59.2435766075959,13.9396650841402,48.7888277944907
"Tafea",2535.33065008713,255.104096592809,407.124985918122,415.293639750741,525.118208027533,259.42362484073,673.2660949572
"North Erromango",116.788161014935,13.8136534533794,17.5810134861192,17.5810134861192,32.6504536170785,8.7905067430596,26.3715202291788
"South Erromango",68.4512142168795,0,9.21458652919531,10.5309560333661,14.4800645458783,10.5309560333661,23.6946510750737
"Aniwa",14.9227132121431,2.2958020326374,2.2958020326374,1.1479010163187,2.2958020326374,1.1479010163187,5.73950508159351
"North Tanna",86.7061788759452,11.560823850126,16.1851533901764,8.09257669508822,21.9655653152395,9.24865908010082,19.6534005452143
"West Tanna",844.571909028883,91.1656032149304,141.048669124987,127.287823356695,168.570360661569,91.1656032149304,225.333849455771
"Middle Bush Tanna",245.843456654549,28.503589177339,41.5677342169527,42.7553837660085,42.7553837660085,33.2541873735621,57.007178354678
"South West Tanna",153.924205268721,13.3320177791806,20.6040274769155,21.8160290932046,36.3600484886743,14.5440193954697,47.2680630352766
"Whitesands",799.345729224335,79.8171946949409,116.204445217635,159.634389389882,161.981953939733,78.6434124200153,203.064333562129
"South Tanna",93.1302145755929,6.29258206591843,18.8777461977553,13.8436805450206,22.6532954373064,3.77554923955106,27.6873610900411
"Futuna",9.97178695396436,0.830982246163696,0,0.830982246163696,0,0.830982246163696,7.47884021547327
"Aneityum",101.675081061187,7.49184807819272,23.5458082457485,11.7729041228743,21.4052802234078,7.49184807819272,29.9673923127709
