"population_affected","water","tin_fish","rice","Region"
222590.221945048,1558154,1246503,623256,"National"
47625.9886857346,333388,266706,133354,"Malampa"
5488.43875478311,38420,30735,15368,"North West Malekula"
6406.6908905057,44847,35877,17939,"North East Malekula"
6582.92043905141,46081,36864,18432,"Central Malekula"
4053.30947912852,28374,22699,11349,"South West Malekula"
5529.91817138101,38710,30968,15484,"South East Malekula"
5329.04745680728,37304,29843,14921,"South Malekula"
4513.88336760198,31598,25278,12639,"North Ambrym"
5559.5187269909,38917,31133,15567,"West Ambrym"
2537.43817757296,17763,14210,7105,"South East Ambrym"
1624.82322191172,11374,9099,4550,"Paama"
113793.897787538,796568,637244,318624,"Shefa"
38801.5043907089,271611,217288,108644,"Port Vila"
2829.45074358279,19807,15845,7922,"Vermali"
2239.22502473362,15675,12540,6270,"Vermaul"
1699.16581276072,11895,9515,4758,"Varisu"
2557.04851226475,17900,14319,7160,"South Epi"
1508.90770450048,10563,8450,4225,"North Tongoa"
1144.18153201921,8010,6407,3204,"Tongariki"
1001.72014723783,7013,5610,2805,"Makimae"
1870.63754644804,13095,10476,5238,"Nguna"
807.585724309822,5654,4522,2261,"Emau"
5055.7706354943,35391,28312,14156,"Malorua"
4405.19640161633,30837,24669,12335,"North Efate"
6888.0832089431,48217,38573,19287,"Mele"
9144.25681252584,64010,51208,25604,"Tanvasoko"
1410.42274951096,9873,7898,3949,"Ifira"
2204.51295765632,15432,12345,6173,"Pango"
16493.9106462183,115458,92366,46183,"Erakor"
9125.80659223213,63881,51105,25552,"Eratap"
4606.5106447749,32246,25796,12898,"Eton"
61170.3354717748,428198,342553,171278,"Tafea"
2246.28685916169,15725,12579,6290,"North Erromango"
1013.60451821149,7096,5676,2838,"South Erromango"
538.365576653472,3769,3015,1507,"Aniwa"
5434.67125257786,38043,30434,15217,"North Tanna"
22741.9667093492,159194,127355,63678,"West Tanna"
8186.60994297228,57307,45845,22923,"Middle Bush Tanna"
7905.67316763517,55340,44272,22136,"South West Tanna"
8995.93549801614,62972,50377,25189,"Whitesands"
2014.3550298725,14101,11280,5640,"South Tanna"
473.963108572271,3318,2654,1327,"Futuna"
1618.90380875273,11333,9066,4533,"Aneityum"
