"Region","total_facilities","facility_hospital","facility_health centre","facility_dispensary","facility_aidpost","total_professionals","prof_doctor","prof_nurse practitioner","prof_registered nurse","prof_midwife","prof_nurse aid","total_staff","staff_clinical medical services","staff_nonclinical medical services","staff_clinical nursing services","staff_nonclinical nursing services","staff_pharmacy services"
"National",226,6,4,47,169,206,3,14,76,21,92,1025,185,13,739,7,81
"Torba",22,1,0,1,20,10,0,1,2,3,4,46,1,2,32,1,10
"Torres",2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
"Ureparapara",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"Motalava",2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
"West Vanualava",6,0,0,1,5,2,0,0,0,1,1,0,0,0,0,0,0
"East Vanualava",4,1,0,0,3,1,0,1,0,0,0,46,1,2,32,1,10
"Mota",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"East Gaua",4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0
"West Gaua",2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
"Merelava",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"Sanma",41,1,0,7,33,41,0,4,14,4,19,299,32,3,243,1,20
"Luganville",1,1,0,0,0,1,0,0,1,0,0,299,32,3,243,1,20
"North West Santo",5,0,0,1,4,8,0,1,3,1,3,0,0,0,0,0,0
"Big Bay Coast",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Big Bay Inland",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Santo",3,0,0,1,2,6,0,0,2,0,4,0,0,0,0,0,0
"South Santo 1",14,0,0,2,12,9,0,1,4,0,4,0,0,0,0,0,0
"East Santo",1,0,0,0,1,7,0,0,2,1,4,0,0,0,0,0,0
"South East Santo",5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Canal Fanafo",3,0,0,1,2,4,0,1,0,1,2,0,0,0,0,0,0
"West Malo",1,0,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0
"East Malo",3,0,0,1,2,3,0,0,1,0,2,0,0,0,0,0,0
"Penama",39,1,2,6,30,40,1,3,13,4,19,82,3,2,66,1,10
"West Ambae",4,0,0,0,4,4,0,0,2,1,1,0,0,0,0,0,0
"North Ambae",6,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0
"East Ambae",2,1,0,0,1,0,0,0,0,0,0,82,3,2,66,1,10
"South Ambae",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"North Maewo",3,0,1,0,2,5,1,0,2,1,1,0,0,0,0,0,0
"South Maewo",3,0,0,1,2,3,0,0,1,0,2,0,0,0,0,0,0
"North Pentecost",4,0,1,2,1,11,0,1,3,1,6,0,0,0,0,0,0
"Central Pentecost 1",2,0,0,1,1,4,0,1,1,0,2,0,0,0,0,0,0
"Central Pentecost 2",6,0,0,1,5,5,0,1,2,0,2,0,0,0,0,0,0
"South Pentecost",8,0,0,1,7,6,0,0,2,1,3,0,0,0,0,0,0
"Malampa",39,1,0,12,26,46,0,0,20,3,23,88,3,2,72,1,10
"North West Malekula",6,0,0,2,4,5,0,0,2,0,3,0,0,0,0,0,0
"North East Malekula",5,0,0,1,4,5,0,0,3,0,2,0,0,0,0,0,0
"Central Malekula",7,1,0,2,4,5,0,0,2,0,3,88,3,2,72,1,10
"South West Malekula",5,0,0,1,4,6,0,0,3,0,3,0,0,0,0,0,0
"South East Malekula",5,0,0,2,3,5,0,0,2,0,3,0,0,0,0,0,0
"South Malekula",4,0,0,2,2,6,0,0,2,1,3,0,0,0,0,0,0
"North Ambrym",1,0,0,0,1,3,0,0,0,1,2,0,0,0,0,0,0
"West Ambrym",2,0,0,1,1,5,0,0,2,1,2,0,0,0,0,0,0
"South East Ambrym",1,0,0,0,1,3,0,0,2,0,1,0,0,0,0,0,0
"Paama",3,0,0,1,2,3,0,0,2,0,1,0,0,0,0,0,0
"Shefa",37,1,2,9,25,42,2,3,18,5,14,421,143,2,253,2,21
"Port Vila",7,1,0,1,5,6,0,1,3,0,2,421,143,2,253,2,21
"Vermali",3,0,0,0,3,3,0,0,1,1,1,0,0,0,0,0,0
"Vermaul",0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0
"Varisu",3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0
"North Tongoa",1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0
"Tongariki",2,0,0,1,1,4,0,0,2,0,2,0,0,0,0,0,0
"Makimae",3,0,0,1,2,3,0,0,1,1,1,0,0,0,0,0,0
"Nguna",3,0,0,1,2,2,0,0,1,0,1,0,0,0,0,0,0
"Emau",2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
"Malorua",4,0,0,2,2,4,0,0,2,0,2,0,0,0,0,0,0
"North Efate",2,0,1,0,1,4,0,1,1,1,1,0,0,0,0,0,0
"Mele",1,0,1,0,0,5,1,1,1,1,1,0,0,0,0,0,0
"Tanvasoko",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ifira",1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0
"Erakor",2,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0
"Eratap",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Eton",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tafea",48,1,0,12,35,27,0,3,9,2,13,89,3,2,73,1,10
"North Erromango",3,0,0,3,0,6,0,2,1,0,3,0,0,0,0,0,0
"South Erromango",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aniwa",1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0
"North Tanna",5,0,0,1,4,2,0,0,1,0,1,0,0,0,0,0,0
"West Tanna",9,1,0,0,8,1,0,0,0,0,1,89,3,2,73,1,10
"Middle Bush Tanna",7,0,0,1,6,2,0,0,1,0,1,0,0,0,0,0,0
"South West Tanna",9,0,0,2,7,4,0,0,2,0,2,0,0,0,0,0,0
"Whitesands",5,0,0,1,4,4,0,1,1,1,1,0,0,0,0,0,0
"South Tanna",4,0,0,1,3,2,0,0,0,1,1,0,0,0,0,0,0
"Futuna",3,0,0,1,2,2,0,0,1,0,1,0,0,0,0,0,0
"Aneityum",1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0
