"Region","total_financial_damage","hospital_financial","health_centre_financial","dispensary_financial","aidpost_financial"
"National",548900000,2.6e+07,4200000,67500000,451200000
"Malampa",39200000,2e+06,0,6e+06,31200000
"North West Malekula",5800000,0,0,1e+06,4800000
"North East Malekula",5300000,0,0,5e+05,4800000
"Central Malekula",7800000,2e+06,0,1e+06,4800000
"South West Malekula",5300000,0,0,5e+05,4800000
"South East Malekula",4600000,0,0,1e+06,3600000
"South Malekula",3400000,0,0,1e+06,2400000
"North Ambrym",1200000,0,0,0,1200000
"West Ambrym",1700000,0,0,5e+05,1200000
"South East Ambrym",1200000,0,0,0,1200000
"Paama",2900000,0,0,5e+05,2400000
"Shefa",259700000,1.4e+07,4200000,31500000,2.1e+08
"Port Vila",59500000,1.4e+07,0,3500000,4.2e+07
"Vermali",25200000,0,0,0,25200000
"Vermaul",0,0,0,0,0
"Varisu",25200000,0,0,0,25200000
"North Tongoa",3500000,0,0,3500000,0
"Tongariki",11900000,0,0,3500000,8400000
"Makimae",20300000,0,0,3500000,16800000
"Nguna",20300000,0,0,3500000,16800000
"Emau",16800000,0,0,0,16800000
"Malorua",23800000,0,0,7e+06,16800000
"North Efate",10500000,0,2100000,0,8400000
"Mele",2100000,0,2100000,0,0
"Tanvasoko",8400000,0,0,0,8400000
"Ifira",3500000,0,0,3500000,0
"Erakor",11900000,0,0,3500000,8400000
"Eratap",8400000,0,0,0,8400000
"Eton",8400000,0,0,0,8400000
"Tafea",2.5e+08,1e+07,0,3e+07,2.1e+08
"North Erromango",7500000,0,0,7500000,0
"South Erromango",6e+06,0,0,0,6e+06
"Aniwa",2500000,0,0,2500000,0
"North Tanna",26500000,0,0,2500000,2.4e+07
"West Tanna",5.8e+07,1e+07,0,0,4.8e+07
"Middle Bush Tanna",38500000,0,0,2500000,3.6e+07
"South West Tanna",4.7e+07,0,0,5e+06,4.2e+07
"Whitesands",26500000,0,0,2500000,2.4e+07
"South Tanna",20500000,0,0,2500000,1.8e+07
"Futuna",14500000,0,0,2500000,1.2e+07
"Aneityum",2500000,0,0,2500000,0
