"Region","total_road_km","road_asphalt","road_chips seal","road_concrete","road_earth","road_gravel"
"National",1132.298,16.98,229.072,23.665,279.521,583.06
"Torba",170.76,0,0,12.48,98.52,59.76
"Motalava",170.76,0,0,12.48,98.52,59.76
"Sanma",335.858,0,63.243,2.959,6.968,262.688
"Luganville",335.858,0,63.243,2.959,6.968,262.688
"Malampa",22.709,0,0,0,22.709,0
"Paama",22.709,0,0,0,22.709,0
"Shefa",511.501,16.98,165.829,7.666,108.024,213.002
"Port Vila",408.789,16.98,165.829,6.229,6.749,213.002
"Tongariki",4.883,0,0,0,4.883,0
"Nguna",97.829,0,0,1.437,96.392,0
"Tafea",91.47,0,0,0.56,43.3,47.61
"Aniwa",58.36,0,0,0.56,10.19,47.61
"Futuna",4.46,0,0,0,4.46,0
"Aneityum",28.65,0,0,0,28.65,0
