"Region","total_infrastructure_damaged","infra_airport_damaged","infra_wharf_damaged","infra_permanent bridge_damaged","infra_temporary bridge_damaged","infra_police stations_damaged","infra_fire hydrants_damaged","infra_main water valves_damaged"
"National",236,7,18,23,1,4,147,36
"Malampa",3,1,2,0,0,0,0,0
"North West Malekula",0,0,0,0,0,0,0,0
"North East Malekula",0,0,0,0,0,0,0,0
"Central Malekula",0,0,0,0,0,0,0,0
"South West Malekula",0,0,0,0,0,0,0,0
"South East Malekula",0,0,0,0,0,0,0,0
"South Malekula",0,0,0,0,0,0,0,0
"North Ambrym",0,0,0,0,0,0,0,0
"West Ambrym",0,0,0,0,0,0,0,0
"South East Ambrym",0,0,0,0,0,0,0,0
"Paama",0,0,0,0,0,0,0,0
"Shefa",214,4,9,14,1,3,147,36
"Port Vila",158,1,1,1,0,0,130,25
"Vermali",3,1,2,0,0,0,0,0
"Vermaul",4,1,2,0,1,0,0,0
"Varisu",1,0,1,0,0,0,0,0
"South Epi",1,0,1,0,0,0,0,0
"North Tongoa",1,1,0,0,0,0,0,0
"Tongariki",1,0,0,0,0,1,0,0
"Makimae",1,1,0,0,0,0,0,0
"Malorua",5,0,0,3,0,2,0,0
"North Efate",1,0,0,1,0,0,0,0
"Mele",2,0,0,2,0,0,0,0
"Tanvasoko",6,0,0,1,0,0,4,1
"Ifira",1,0,1,0,0,0,0,0
"Pango",2,0,0,0,0,0,1,1
"Erakor",15,0,0,0,0,0,9,6
"Eratap",5,0,0,1,0,0,2,2
"Eton",6,0,0,6,0,0,0,0
"Tafea",19,3,7,8,0,1,0,0
"North Erromango",3,1,2,0,0,0,0,0
"South Erromango",0,0,0,0,0,0,0,0
"Aniwa",0,0,0,0,0,0,0,0
"West Tanna",3,0,1,2,0,0,0,0
"South West Tanna",4,0,0,4,0,0,0,0
"Whitesands",0,0,0,0,0,0,0,0
"South Tanna",2,0,0,2,0,0,0,0
"Futuna",1,0,1,0,0,0,0,0
"Aneityum",2,0,2,0,0,0,0,0
