"Area Council","Business","Education","Emergency Telecommunications","Energy","Food Security","Gender & Protection","Health","Logistics","Shelter","WASH"
"Aneityum",1,9,2,37,224,174,4,28,90,42
"Aniwa",3,7,0,37,84,174,4,23,78,30
"Big Bay Coast",5,7,2,48,188,174,1,19,84,42
"Big Bay Inland",4,9,1,38,172,168,1,6,78,30
"Canal Fanafo",10,9,2,61,148,174,6,27,90,42
"Central Malekula",9,9,2,61,220,174,14,27,90,42
"Central Pentecost 1",1,9,2,49,212,174,7,25,90,42
"Central Pentecost 2",5,9,2,49,196,174,7,26,90,42
"East Ambae",3,9,1,61,188,174,11,27,84,42
"East Gaua",0,8,2,43,152,174,3,26,90,42
"East Malo",5,9,2,49,164,174,5,25,84,42
"East Santo",11,9,2,61,212,174,6,18,90,42
"East Vanualava",7,9,2,60,164,174,12,27,84,42
"Emau",3,7,0,48,172,174,3,18,90,36
"Erakor",16,9,2,67,208,174,6,26,90,42
"Eratap",17,9,2,68,212,174,1,27,90,42
"Eton",9,9,2,64,192,174,1,25,90,42
"Futuna",2,9,1,25,136,150,5,27,90,30
"Ifira",10,7,1,61,116,174,4,25,90,36
"Luganville",18,9,2,60,160,174,13,33,90,42
"Makimae",4,9,2,25,136,174,6,25,84,42
"Malorua",17,9,2,60,216,174,5,26,90,42
"Mele",17,8,2,66,168,174,8,25,90,42
"Merelava",3,7,0,30,124,168,3,7,72,30
"Middle Bush Tanna",7,9,1,49,164,174,5,24,90,42
"Mota",3,7,0,36,120,162,2,7,54,30
"Motalava",4,9,2,37,112,174,3,29,78,42
"Nguna",7,9,2,49,212,174,5,26,84,42
"North Ambae",0,9,2,49,156,168,3,19,90,42
"North Ambrym",0,9,2,55,164,174,4,25,84,42
"North East Malekula",0,9,2,60,200,174,6,25,90,42
"North Efate",11,9,2,63,200,174,7,25,84,42
"North Erromango",1,9,2,49,200,174,5,26,90,36
"North Maewo",5,9,2,49,188,174,8,26,78,42
"North Pentecost",2,9,2,49,204,174,9,25,90,42
"North Tanna",4,9,2,43,148,174,5,18,90,42
"North Tongoa",5,9,0,43,164,174,4,19,78,42
"North West Malekula",0,9,2,43,200,174,6,27,84,42
"North West Santo",3,9,1,48,208,168,13,14,78,30
"Paama",0,9,2,49,112,174,6,21,90,42
"Pango",16,9,2,61,140,174,0,26,84,42
"Port Vila",18,9,2,68,228,174,17,34,90,42
"South Ambae",0,7,1,42,196,168,1,20,78,36
"South East Ambrym",0,9,2,48,176,174,5,20,90,42
"South East Malekula",0,9,2,61,204,174,5,25,90,42
"South East Santo",14,9,2,60,204,174,2,26,90,42
"South Epi",5,9,1,55,176,174,0,25,84,42
"South Erromango",5,9,2,42,144,168,1,13,72,24
"South Maewo",0,8,0,49,176,174,5,19,84,42
"South Malekula",0,9,2,49,204,174,7,26,90,42
"South Pentecost",10,7,2,49,188,174,7,28,90,42
"South Santo 1",5,9,2,54,204,174,7,26,90,42
"South Santo 2",8,9,2,53,196,174,0,28,90,42
"South Tanna",4,9,2,36,168,174,5,19,90,42
"South West Malekula",0,9,2,49,204,174,6,26,90,42
"South West Tanna",4,9,2,43,172,174,5,25,90,42
"Tanvasoko",16,7,2,67,184,174,1,27,90,42
"Tongariki",1,7,2,43,160,174,6,20,78,36
"Torres",4,9,1,39,156,162,3,14,78,30
"Ureparapara",1,7,0,37,152,174,3,13,66,36
"Varisu",5,7,2,43,152,162,3,19,84,42
"Vermali",8,9,2,61,176,174,5,26,90,42
"Vermaul",8,9,2,55,172,150,3,27,90,42
"West Ambae",3,9,2,54,152,174,6,26,84,42
"West Ambrym",0,9,2,49,108,174,7,26,90,42
"West Gaua",3,6,0,31,160,168,3,13,72,42
"West Malo",6,7,2,55,204,174,5,25,84,42
"West Santo",6,7,2,42,180,174,5,19,78,42
"West Tanna",15,9,2,61,204,174,12,28,90,42
"West Vanualava",0,7,2,37,188,174,5,8,66,36
"Whitesands",8,9,2,43,164,174,8,26,90,42
