"Region","private_households_damaged","total_roof_damaged","roof_concrete_damaged","roof_metal_damaged","roof_wood_damaged","total_wall_damaged","wall_concrete_damaged","wall_metal_damaged","wall_wood_damaged"
"National",23176,17779,726,16551,502,18294,9261,7680,1353
"Malampa",1028,323,24,296,3,392,279,75,38
"North West Malekula",118,20,2,18,0,25,19,2,4
"North East Malekula",153,45,7,36,2,60,50,7,3
"Central Malekula",153,56,6,50,0,70,54,6,10
"South West Malekula",93,36,2,34,0,34,22,5,7
"South East Malekula",115,18,1,17,0,33,20,7,6
"South Malekula",120,38,1,37,0,51,39,10,2
"North Ambrym",100,36,0,36,0,34,28,5,1
"West Ambrym",38,11,1,9,1,22,14,6,2
"South East Ambrym",60,18,3,15,0,21,15,3,3
"Paama",78,45,1,44,0,42,18,24,0
"Shefa",16724,15091,506,14342,243,15404,7939,6548,917
"Port Vila",6222,6070,266,5682,122,5805,3475,2044,286
"Vermali",432,328,6,245,77,321,182,110,29
"Vermaul",327,203,5,194,4,290,98,116,76
"Varisu",425,190,16,174,0,249,125,51,73
"South Epi",327,225,0,224,1,263,58,158,47
"North Tongoa",227,184,0,184,0,209,71,127,11
"Tongariki",164,143,1,142,0,157,61,94,2
"Makimae",162,137,1,136,0,154,57,76,21
"Nguna",328,296,13,283,0,306,180,116,10
"Emau",138,128,3,124,1,136,77,58,1
"Malorua",706,639,14,622,3,644,314,303,27
"North Efate",605,557,11,546,0,594,307,263,24
"Mele",621,585,15,557,13,587,379,191,17
"Tanvasoko",1330,1280,37,1236,7,1218,619,563,36
"Ifira",171,170,29,138,3,152,78,49,25
"Pango",334,309,10,299,0,324,189,125,10
"Erakor",2303,2119,41,2074,4,2210,952,1141,117
"Eratap",1275,1077,31,1043,3,1207,542,613,52
"Eton",627,451,7,439,5,578,175,350,53
"Tafea",5424,2365,196,1913,256,2498,1043,1057,398
"North Erromango",184,108,3,102,3,131,26,41,64
"South Erromango",75,26,0,24,2,49,5,7,37
"Aniwa",69,42,2,39,1,59,14,43,2
"North Tanna",511,223,8,199,16,144,43,87,14
"West Tanna",1783,965,99,753,113,969,548,369,52
"Middle Bush Tanna",790,351,18,272,61,307,142,147,18
"South West Tanna",711,259,42,171,46,281,122,70,89
"Whitesands",890,167,17,138,12,326,87,182,57
"South Tanna",202,104,4,99,1,125,44,52,29
"Futuna",43,28,1,27,0,26,2,17,7
"Aneityum",166,92,2,89,1,81,10,42,29
