"Region","total_financial","private_households_financial","roof_concrete_financial","roof_metal_financial","roof_wood_financial","wall_concrete_financial","wall_metal_financial","wall_wood_financial","freezer_financial","refrigerator_financial","tv_financial"
"National",159336524416.962,159336524416.962,362419914.352415,2483283737.18607,10075534.0700583,138930405611.519,15360643009.3763,676791747.609664,355400188.173937,617183297.682057,540321376.99224
"Malampa",4419701822.10911,4419701822.10911,11544287.9879077,44568197.1725155,94188.0728400721,4179187192.90354,151102655.299996,18775897.5771703,6614885.15089951,2899915.37261215,4914602.57162427
"North West Malekula",298605854.273357,298605854.273357,941363.885479165,2745644.6659809,0,287115985.071147,4602223.44012038,2196515.73278473,476957.701976111,95182.3484206713,431981.427447662
"North East Malekula",780944861.977932,780944861.977932,3258461.17292122,5459175.71894033,36093.723761589,753456483.523169,14036448.1295068,1253254.29727739,1311405.29667107,729895.302734354,1403644.81295068
"Central Malekula",841018164.753387,841018164.753387,2928577.24815516,7475859.01165427,6389.62308688398,808287320.490824,11288334.1201617,5111698.4695072,2900888.88144533,1162911.40181288,1856185.50673979
"South West Malekula",351813296.543829,351813296.543829,784077.4164587,5174910.9486274,4480.44237976398,330992680.805066,10753061.7114336,3304326.25507594,524211.758432386,189298.690545028,86248.515810457
"South East Malekula",319312061.167001,319312061.167001,574330.440151905,2553159.86576619,4176.94865565022,299173947.460947,13575083.1308632,2819440.34256389,175431.843537308,122175.748177769,314315.386337679
"South Malekula",613401534.978352,613401534.978352,545474.234623205,5491107.29520694,4848.65986331738,585475678.495575,20364371.425933,909123.724372005,378195.469338757,63032.5782231261,169703.095216108
"North Ambrym",432953979.677735,432953979.677735,185482.282207689,5378986.18402298,0,415480312.145223,10387007.8036306,618274.27402563,504511.807604914,321502.622493328,77902.5585272291
"West Ambrym",226717754.410709,226717754.410709,524321.27824603,1397161.99438501,27141.336756265,210962208.423698,12460340.9653762,1110327.4127563,103630.558523922,72171.2818291595,60451.1591389542
"South East Ambrym",235217132.956485,235217132.956485,1320102.88956644,2268176.78298233,7200.56121581694,225017537.994281,5040392.85107186,1260098.21276797,100807.857021437,93607.2958056202,109208.511773223
"Paama",319717181.370321,319717181.370321,482097.140098196,6624014.70494921,3856.77712078556,263225038.493615,48595391.7218982,192838.856039278,138843.97634828,50138.1025702123,404961.597682484
"Shefa",136476812204.724,136476812204.724,253061772.268151,2151514664.12482,4857718.03159474,119083685922.828,13095840218.67,458599603.670674,323366946.974105,591019952.041867,514865406.114872
"Port Vila",58075001912.7187,58075001912.7187,132960935.587055,852360713.86418,2440556.16515232,52129856469.8214,4088284258.15688,143188699.862983,147110518.440511,329009542.680246,249790218.140286
"Vermali",3012496095.01038,3012496095.01038,2906764.60863184,36749809.6948454,1544737.76344434,2728206211.24445,220914110.25602,14533823.0431592,2591173.02255181,1619483.13909488,3429982.23818557
"Vermaul",1770294711.81439,1770294711.81439,2662230.75614977,29151426.77984,88741.0252049923,1464226915.88237,232501486.03708,38158640.8381468,1597338.45368987,1038269.99489841,869662.047008927
"Varisu",2045758984.75592,2045758984.75592,8247106.79537174,26115838.1853438,0,1869344206.95093,102630662.342404,36653807.9794299,879691.391506318,476499.50373259,1411171.60720805
"South Epi",1240136317.48418,1240136317.48418,0,33544175.260676,19195.5223237058,863798504.566763,316726118.341146,23514514.8465396,1151731.33942235,374312.685312264,1007764.92199456
