"Region","total_towers","towers_digicel","towers_vodafone"
"National",375,129,246
"Torba",12,4,8
"Torres",1,0,1
"Motalava",3,1,2
"West Vanualava",2,1,1
"East Vanualava",3,1,2
"East Gaua",3,1,2
"Sanma",71,22,49
"Luganville",19,6,13
"North West Santo",2,0,2
"Big Bay Coast",3,1,2
"Big Bay Inland",1,0,1
"West Santo",3,1,2
"South Santo 1",3,3,0
"South Santo 2",5,0,5
"East Santo",13,5,8
"South East Santo",11,3,8
"Canal Fanafo",5,1,4
"West Malo",3,1,2
"East Malo",3,1,2
"Penama",43,13,30
"West Ambae",6,2,4
"North Ambae",5,2,3
"East Ambae",2,0,2
"South Ambae",1,0,1
"North Maewo",5,2,3
"North Pentecost",5,2,3
"Central Pentecost 1",3,3,0
"Central Pentecost 2",6,0,6
"South Pentecost",10,2,8
"Malampa",56,22,34
"North West Malekula",8,4,4
"North East Malekula",10,3,7
"Central Malekula",9,3,6
"South West Malekula",6,2,4
"South East Malekula",6,3,3
"South Malekula",5,2,3
"North Ambrym",4,2,2
"West Ambrym",3,1,2
"South East Ambrym",2,1,1
"Paama",3,1,2
"Shefa",147,53,94
"Port Vila",59,20,39
"Vermali",3,1,2
"Vermaul",5,2,3
"Varisu",3,2,1
"South Epi",1,0,1
"Tongariki",3,1,2
"Makimae",3,1,2
"Nguna",2,1,1
"Malorua",18,6,12
"North Efate",7,3,4
"Mele",4,1,3
"Tanvasoko",8,3,5
"Ifira",1,0,1
"Pango",3,1,2
"Erakor",10,4,6
"Eratap",8,3,5
"Eton",9,4,5
"Tafea",46,15,31
"North Erromango",3,1,2
"South Erromango",3,1,2
"North Tanna",3,1,2
"West Tanna",15,5,10
"Middle Bush Tanna",1,0,1
"South West Tanna",5,2,3
"Whitesands",9,3,6
"South Tanna",3,1,2
"Futuna",1,0,1
"Aneityum",3,1,2
