"Region","towers_digicel_damaged","towers_vodafone_damaged","total_towers_damaged"
"National",46.8,84.7,131.5
"Malampa",2.2,3.4,5.6
"North West Malekula",0.4,0.4,0.8
"North East Malekula",0.3,0.7,1
"Central Malekula",0.3,0.6,0.9
"South West Malekula",0.2,0.4,0.6
"South East Malekula",0.3,0.3,0.6
"South Malekula",0.2,0.3,0.5
"North Ambrym",0.2,0.2,0.4
"West Ambrym",0.1,0.2,0.3
"South East Ambrym",0.1,0.1,0.2
"Paama",0.1,0.2,0.3
"Shefa",37.1,65.8,102.9
"Port Vila",14,27.3,41.3
"Vermali",0.7,1.4,2.1
"Vermaul",1.4,2.1,3.5
"Varisu",1.4,0.7,2.1
"South Epi",0,0.7,0.7
"Tongariki",0.7,1.4,2.1
"Makimae",0.7,1.4,2.1
"Nguna",0.7,0.7,1.4
"Malorua",4.2,8.4,12.6
"North Efate",2.1,2.8,4.9
"Mele",0.7,2.1,2.8
"Tanvasoko",2.1,3.5,5.6
"Ifira",0,0.7,0.7
"Pango",0.7,1.4,2.1
"Erakor",2.8,4.2,7
"Eratap",2.1,3.5,5.6
"Eton",2.8,3.5,6.3
"Tafea",7.5,15.5,23
"North Erromango",0.5,1,1.5
"South Erromango",0.5,1,1.5
"North Tanna",0.5,1,1.5
"West Tanna",2.5,5,7.5
"Middle Bush Tanna",0,0.5,0.5
"South West Tanna",1,1.5,2.5
"Whitesands",1.5,3,4.5
"South Tanna",0.5,1,1.5
"Futuna",0,0.5,0.5
"Aneityum",0.5,1,1.5
