"Region","total_water_damaged","water_piped_damaged","water_well_damaged","water_tank_damaged","total_toilet_damaged","toilet_pit_latrine_damaged","toilet_vip_damaged","toilet_flush_damaged","toilet_water_sealed_damaged"
"National",21600,13297,1174,7129,21529,6952,3290,8168,3119
"Malampa",974,471,184,319,973,454,260,74,185
"North West Malekula",104,87,3,14,105,73,19,3,10
"North East Malekula",148,46,49,53,147,43,14,20,70
"Central Malekula",139,100,10,29,146,44,29,24,49
"South West Malekula",87,48,7,32,92,71,11,4,6
"South East Malekula",106,90,6,10,105,86,11,3,5
"South Malekula",115,40,6,69,110,55,8,7,40
"North Ambrym",100,13,47,40,100,36,61,1,2
"West Ambrym",38,4,23,11,38,4,31,2,1
"South East Ambrym",61,38,11,12,53,2,40,10,1
"Paama",76,5,22,49,77,40,36,0,1
"Shefa",15937,9458,830,5649,15704,3292,1604,7909,2899
"Port Vila",5977,5476,27,474,6171,305,142,4981,743
"Vermali",432,125,104,203,387,266,85,18,18
"Vermaul",327,154,59,114,274,74,185,7,8
"Varisu",355,164,5,186,380,353,18,1,8
"South Epi",324,108,23,193,301,266,31,2,2
"North Tongoa",226,35,25,166,212,104,102,3,3
"Tongariki",163,9,27,127,149,62,83,0,4
"Makimae",162,2,29,131,158,46,79,1,32
"Nguna",323,21,43,259,327,54,132,6,135
"Emau",138,0,30,108,138,96,9,15,18
"Malorua",623,259,27,337,631,118,54,196,263
"North Efate",598,70,40,488,593,107,24,152,310
"Mele",601,122,11,468,585,19,8,297,261
"Tanvasoko",1298,938,177,183,1157,174,82,678,223
"Ifira",171,155,0,16,169,5,15,134,15
"Pango",330,246,6,78,320,1,10,197,112
"Erakor",2179,1221,48,910,2191,565,359,864,403
"Eratap",1186,201,125,860,970,372,122,302,174
"Eton",524,152,24,348,591,305,64,55,167
"Tafea",4689,3368,160,1161,4852,3206,1426,185,35
"North Erromango",179,101,0,78,99,46,43,6,4
"South Erromango",60,21,0,39,5,4,0,1,0
"Aniwa",68,0,1,67,70,13,56,0,1
"North Tanna",315,198,1,116,424,367,48,2,7
"West Tanna",1686,1112,57,517,1668,1050,462,141,15
"Middle Bush Tanna",530,218,23,289,684,402,269,10,3
"South West Tanna",669,607,48,14,648,460,180,7,1
"Whitesands",840,798,23,19,881,657,213,9,2
"South Tanna",185,175,4,6,187,69,111,6,1
"Futuna",42,42,0,0,39,2,35,2,0
"Aneityum",115,96,3,16,147,136,9,1,1
