"Region","total_financial","water_piped_financial","water_well_financial","water_tank_financial","toilet_pit_latrine_financial","toilet_vip_financial","toilet_flush_financial","toilet_water_sealed_financial"
"National",7578527967.32738,2659727198.58054,175935030.266409,106914249.206167,416958023.723208,328939106.039955,3266459032.02618,623595327.484913
"Malampa",246322469.356583,94296354.7223189,27661272.3561444,4754832.14166071,27280792.0919724,25934206.1274707,29486846.7352611,36908165.1817548
"North West Malekula",27695448.4907335,17467529.8750023,454992.544648265,208668.994614549,4355376.91015028,1861808.57350324,1296990.24221574,2050081.35059908
"North East Malekula",43259330.5317021,9163795.4216923,7324018.11328908,788046.302128025,2592732.49020746,1353514.64105959,7980723.3650624,14056500.1982632
"Central Malekula",46791742.3338419,20084715.2364386,1469613.30998332,432896.96413639,2664472.82723062,2885979.76090926,9414044.6813424,9840019.55380134
"South West Malekula",19520167.3380368,9677755.54029022,1108909.48899159,480527.445229687,4287783.35743414,1142512.80683982,1612959.25671504,1209719.44253628
"South East Malekula",27474924.0197032,18002648.7058524,830168.545310481,144104.728619932,5156443.11540019,1086006.65046906,1336623.56980807,918928.704243048
"South Malekula",24776045.8190689,8024532.07379026,945488.67334689,1034582.79833535,3280118.39753421,775785.578130782,2715249.52345774,8000288.7744737
"North Ambrym",19170212.1404387,2572020.97994662,7103971.4085545,593543.303064606,2173852.34747411,6108549.82737323,296771.651532302,321502.622493326
"West Ambrym",8754314.80102078,826577.073940802,3423509.52266526,159146.929161737,255375.304933949,3115085.24134406,838914.045193648,135706.683781326
"South East Ambrym",17412157.1133814,7512585.53516902,1674130.48267745,172813.469179607,108008.418237254,3960308.66869932,3840299.31510237,144011.224316339
"Paama",11468126.7686559,964194.280196392,3326470.26667755,740501.207190827,2406628.92337019,3644654.37914236,154271.084831422,231406.627247134
"Shefa",6202328747.38293,1891783319.98342,124338472.682189,84732284.1677634,197392659.580392,160457259.966254,3163481923.17126,580142827.831651
"Port Vila",3279867662.52652,1095287749.49379,4020569.40501972,7110059.57940329,18283010.347037,14248333.6809471,1992227408.33994,148690531.680379
"Vermali",78918659.1243545,24915125.2168444,15571953.2605278,3052102.83906343,15945680.1387804,8471142.57372705,7308436.73027434,3654218.36513717
